name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
布拉德-史蒂文斯;凯尔特人;1;42;3;3700000;2;1;39;41;37;35;5
肯尼-阿特金森;篮网;2;51;1;4500000;0;1;42;38;37;45;5
大卫-费兹戴尔;尼克斯;3;44;4;3000000;0;0;42;38;36;44;5
布雷特-布朗;76人;4;57;1;2000000;0;1;36;44;40;35;5
德维恩-凯西;猛龙;5;61;2;2000000;1;1;40;40;37;40;5
吉姆-博伊兰;公牛;6;53;4;2000000;0;0;40;40;44;44;5
JB-比克斯塔夫;骑士;7;39;4;3000000;1;1;40;40;38;39;5
斯坦-范甘迪;活塞;8;59;3;4530000;1;0;44;36;37;44;5
内特-麦克米兰;步行者;9;54;3;3000000;1;0;40;40;44;39;5
贾森-基德;雄鹿;10;45;2;3740000;1;1;38;43;40;39;5
迈克-布登霍尔泽;老鹰;11;49;3;3500000;2;1;44;37;45;37;5
斯蒂夫-克里福德;黄蜂;12;57;3;2000000;0;1;39;41;45;38;5
埃里克-斯波尔斯特拉;热火;13;48;3;2000000;2;1;39;42;40;35;5
弗兰克-沃格尔;魔术;14;64;4;5500000;1;1;41;39;41;35;5
斯科特-布鲁克斯;奇才;15;53;5;7000000;1;1;43;37;40;44;5
里克-卡莱尔;独行侠;16;59;4;7000000;2;1;39;40;42;45;5
迈克-德安东尼;火箭;17;67;3;5000000;1;1;36;44;44;40;5
泰勒-詹金斯;灰熊;18;34;4;3000000;1;1;42;41;45;42;5
阿尔文-金特里;鹈鹕;19;64;3;3500000;0;2;43;37;36;44;5
格雷格-波波维奇;马刺;20;70;1;8000000;2;2;44;40;42;41;5
迈克-马龙;掘金;21;47;3;2000000;1;1;43;40;43;37;5
汤姆-锡伯杜;森林狼;22;61;2;6500000;1;1;45;43;38;44;5
特里-斯托茨;开拓者;23;61;5;4000000;1;1;41;39;41;38;5
比利-多诺万;雷霆;24;53;4;6000000;1;1;44;40;42;38;5
奎因-斯奈德;爵士;25;52;3;2000000;0;1;42;38;37;42;5
斯蒂夫-科尔;勇士;26;53;3;5000000;1;2;36;43;41;37;5
道格-里弗斯;快船;27;57;3;8000000;1;1;43;40;40;43;5
菲尔-杰克逊;湖人;28;73;1;7000000;2;2;42;39;41;42;5
蒙蒂-威廉姆斯;太阳;29;47;4;4325000;2;1;44;40;45;36;5
卢克-沃顿;国王;30;38;5;1500000;0;0;39;41;38;35;5
德里克-费舍尔;0;0;44;0;0;-2;-2;43;37;37;43;5
埃托雷-梅西纳;0;0;59;0;0;1;1;36;44;37;43;5
布莱恩-肖;0;0;52;0;0;0;0;37;43;36;43;5
莱昂内尔-霍林斯;0;0;65;0;0;1;1;42;38;38;36;5
大卫-布拉特;0;0;59;0;0;1;0;38;42;42;43;5
兰迪-惠特曼;0;0;59;0;0;1;1;40;40;41;44;5
拜伦-斯科特;0;0;57;0;0;0;0;38;42;42;45;5
乔治-卡尔;0;0;67;0;0;1;1;36;44;35;38;5
斯科特-斯凯尔斯;0;0;54;0;0;1;1;42;38;44;35;5
凯文-麦克海尔;0;0;61;0;0;0;0;41;39;43;38;5
斯蒂夫-纳什;0;0;44;0;0;0;0;39;37;43;44;5
斯蒂芬-塞拉斯;0;0;45;0;0;1;0;44;44;40;41;5
马克-戴格诺特;0;0;33;0;0;0;2;36;41;36;40;5
泰伦-卢;0;0;41;0;0;0;2;44;39;40;42;5
戴夫-乔格尔;0;0;44;0;0;1;1;43;37;44;39;5
厄尔-沃特森;0;0;39;0;0;0;1;39;41;39;41;5
杰夫-霍纳塞克;0;0;55;0;0;0;0;39;41;38;45;5
弗雷德-霍伊博格;0;0;46;0;0;1;1;44;36;43;43;5
尼克-纳斯;0;0;51;0;0;1;1;38;38;39;36;5
莱恩-桑德斯;0;0;32;0;0;0;0;42;38;41;44;5
劳埃德-皮尔斯;0;0;42;0;0;1;0;42;38;37;40;5
詹姆斯-伯雷格;0;0;41;0;0;0;1;40;40;38;35;5
