name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
郭士强;中国;1;49;3;3500000;2;2;37;38;37;45;5
汤姆-霍瓦斯;日本;2;57;3;3500000;2;2;41;39;41;39;5
蒂姆-孔恩;菲律宾;3;66;3;3500000;2;2;40;41;39;40;5
亚当-卡彭;澳大利亚;4;43;3;3500000;2;2;38;38;40;41;5
贾德-弗拉维尔;新西兰;5;51;3;3500000;2;2;40;38;41;38;5
亚历山大-德兹基奇;格鲁吉亚;6;53;3;3500000;2;2;40;41;40;39;5
亚历山大-塞库利奇;斯洛文尼亚;7;46;3;3500000;2;2;40;41;41;41;5
斯韦蒂斯拉夫-佩希奇;塞尔维亚;8;74;3;3500000;2;2;38;38;39;45;5
博斯科-拉多维奇;黑山;9;45;3;3500000;2;2;39;40;39;40;5
米奥德拉格-佩里希奇;黎巴嫩;10;51;3;3500000;2;2;41;40;38;40;5
罗伊-拉纳;约旦;11;56;3;3500000;2;2;38;38;40;41;5
穆罕默德-穆尼尔-优素福-凯尔达尼;埃及;12;48;3;3500000;2;2;41;40;41;40;5
洛尔-邓;南苏丹;13;38;3;3500000;2;2;41;41;38;41;5
何塞-克拉罗斯-卡纳尔斯;安哥拉;14;56;3;3500000;2;2;38;38;41;38;5
埃马努埃尔-特罗瓦达;佛得角;15;56;3;3500000;2;2;39;40;41;39;5
瓦斯里斯-斯潘诺里斯;希腊;16;41;3;3500000;2;2;38;44;41;36;5
詹马尔科-波泽科;意大利;17;51;3;3500000;2;2;36;45;41;38;5
拉西-托维;芬兰;18;37;3;3500000;2;2;41;40;41;38;5
卢卡-班奇;拉脱维亚;19;58;3;3500000;2;3;38;39;39;39;5
里马斯-库尔蒂奈蒂斯;立陶宛;20;65;3;3500000;2;2;40;40;39;38;5
阿莱克斯-默布鲁;德国;21;46;3;3500000;2;2;41;41;41;41;5
弗雷德里克-福图;法国;22;52;3;3500000;2;2;40;38;39;38;5
瑟吉欧-史卡利欧罗;西班牙;23;63;3;3500000;2;2;39;38;39;46;5
亚历山大-彼得罗维奇;巴西;24;65;3;3500000;2;2;38;38;39;41;5
罗纳德-吉恩;委内瑞拉;25;42;3;3500000;2;2;40;40;40;39;5
纳撒尼尔-米歇尔;加拿大;26;49;3;3500000;2;2;40;39;39;41;5
斯蒂芬-塞拉斯;美国;27;45;3;3500000;1;0;38;40;39;38;5
奧马尔-昆特罗;墨西哥;28;42;3;3500000;2;2;40;38;40;38;5
内斯托-加西亚;多米尼加;29;59;3;3500000;2;2;38;41;38;40;5
卡洛斯-冈萨雷斯;波多黎各;30;41;3;3500000;2;2;38;40;41;40;5
布莱恩-戈尔;0;0;71;0;0;2;2;40;41;41;40;5
佩罗-卡梅隆;0;0;50;0;0;2;2;41;38;40;38;5
韦萨姆-阿尔-苏斯;0;0;41;0;0;2;2;41;39;41;38;5
亨里克-勒德尔;0;0;55;0;0;2;2;39;39;39;38;5
罗伊尔-埃维;0;0;42;0;0;2;2;39;41;41;40;5
优斯普-克拉鲁斯;0;0;55;0;0;2;2;40;38;38;38;5
卡齐斯-马克斯维提斯;0;0;47;0;0;2;2;38;40;40;40;5
戈登-赫伯特;0;0;65;0;0;2;2;41;41;39;38;5
樊尚-科莱;0;0;61;0;0;2;2;39;41;40;41;5
费尔南多-杜罗;0;0;63;0;0;2;2;40;39;41;39;5
乔迪-费尔南德兹;0;0;41;0;0;2;2;41;38;41;40;5
史蒂夫-科尔;0;0;58;0;0;2;2;39;40;38;41;5
