name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
乔-马祖拉;凯尔特人;1;34;3;3620000;1;1;36;44;40;45;5
雅克-沃恩;篮网;2;47;2;4000000;0;-1;37;42;38;42;5
汤姆-锡伯杜;尼克斯;3;65;4;3000000;1;1;42;40;40;40;5
尼克-纳斯;76人;4;55;4;3500000;1;1;43;33;41;38;5
达尔科-拉亚科维奇;猛龙;5;44;4;3200000;1;0;40;39;38;42;5
比利-多诺万;公牛;6;57;4;5000000;0;0;44;40;42;38;5
JB-比克斯塔夫;骑士;7;43;4;3000000;1;1;40;40;38;39;5
蒙蒂-威廉姆斯;活塞;8;51;4;1500000;0;1;44;40;45;36;5
里克-卡莱尔;步行者;9;63;3;3000000;1;2;38;43;45;42;5
阿德里安-格里芬;0;0;48;0;0;1;1;43;38;42;40;5
奎因-斯奈德;老鹰;11;56;5;3000000;1;-1;42;38;37;42;5
斯蒂夫-克里福德;黄蜂;12;61;3;2200000;-1;1;39;41;45;38;5
埃里克-斯波尔斯特拉;热火;13;52;3;3000000;2;2;39;42;40;35;5
贾马尔-莫斯利;魔术;14;44;2;3500000;1;1;37;40;41;42;5
小韦斯-昂塞尔德;0;0;47;0;0;1;0;43;40;39;44;5
布莱恩-基夫;奇才;15;40;3;4000000;0;0;38;43;40;39;5
贾森-基德;独行侠;16;49;2;4000000;1;1;38;43;40;39;5
艾米-乌度卡;火箭;17;45;4;3300000;0;2;38;42;42;44;5
泰勒-詹金斯;灰熊;18;38;4;3000000;1;2;42;41;45;42;5
威利-格林;鹈鹕;19;41;2;4000000;1;0;42;38;39;36;5
格雷格-波波维奇;马刺;20;74;5;16000000;2;2;44;40;42;41;5
迈克-马龙;掘金;21;51;3;2000000;2;1;43;40;43;37;5
克里斯-芬奇;森林狼;22;53;3;4000000;2;0;42;43;42;41;5
昌西-比卢普斯;开拓者;23;46;2;3000000;0;1;39;42;38;38;5
马克-戴格诺特;雷霆;24;37;2;3000000;1;2;38;38;42;41;5
威尔-哈迪;爵士;25;35;5;2000000;0;1;43;45;44;43;5
斯蒂夫-科尔;勇士;26;57;3;5000000;1;2;36;43;41;37;5
泰伦-卢;快船;27;45;5;5000000;1;0;44;39;40;42;5
达尔文-哈姆;湖人;28;49;4;3000000;-1;1;42;40;42;43;5
弗兰克-沃格尔;太阳;29;68;4;3500000;0;1;41;39;41;35;5
迈克-布朗;国王;30;52;3;2000000;2;1;42;39;41;40;5
道格-里弗斯;雄鹿;10;61;3;2430000;0;1;43;40;40;43;10
德维恩-凯西;0;0;65;0;0;1;1;40;40;37;40;10
迈克-布登霍尔泽;0;0;53;0;0;2;1;44;37;45;37;10
斯蒂芬-塞拉斯;0;0;49;0;0;1;0;44;44;40;41;10
内特-麦克米兰;0;0;58;0;0;1;0;40;40;44;39;10
斯蒂夫-纳什;0;0;48;0;0;0;0;39;37;43;44;10
戴夫-乔格尔;0;0;48;0;0;1;1;43;37;44;39;10
斯科特-斯凯尔斯;0;0;58;0;0;1;1;42;38;44;35;10
斯蒂夫-克里福德;0;0;61;0;0;0;1;40;40;44;36;10
吉姆-博伊兰;0;0;57;0;0;0;0;40;40;44;44;10
弗雷德-霍伊博格;0;0;50;0;0;1;1;44;36;43;43;10
凯文-麦克海尔;0;0;65;0;0;0;0;41;39;43;38;10
迈克-德安东尼;0;0;71;0;0;1;1;37;43;43;45;10
大卫-布拉特;0;0;63;0;0;1;0;38;42;42;43;10
拜伦-斯科特;0;0;61;0;0;0;0;38;42;42;45;10
莱恩-桑德斯;0;0;36;0;0;0;0;42;38;41;44;10
特里-斯托茨;0;0;65;0;0;1;1;41;39;41;38;10
兰迪-惠特曼;0;0;63;0;0;1;1;40;40;41;44;10
斯科特-布鲁克斯;0;0;57;0;0;1;1;43;37;40;44;10
布雷特-布朗;0;0;61;0;0;0;1;36;44;40;35;10
厄尔-沃特森;0;0;43;0;0;0;1;39;41;39;41;10
莱昂内尔-霍林斯;0;0;69;0;0;1;1;42;38;38;36;10
杰夫-霍纳塞克;0;0;59;0;0;0;0;39;41;38;45;10
卢克-沃顿;0;0;42;0;0;0;0;39;41;38;35;10
斯坦-范甘迪;0;0;63;0;0;1;0;44;36;37;44;10
德里克-费舍尔;0;0;48;0;0;-2;-2;43;37;37;43;10
劳埃德-皮尔斯;0;0;46;0;0;1;0;42;38;37;40;10
肯尼-阿特金森;0;0;55;0;0;0;1;42;38;37;45;10
布拉德-史蒂文斯;0;0;46;0;0;2;1;40;40;37;35;10
埃托雷-梅西纳;0;0;63;0;0;1;1;36;44;37;43;10
大卫-费兹戴尔;0;0;48;0;0;0;0;42;38;36;44;10
布莱恩-肖;0;0;56;0;0;0;0;37;43;36;43;10
乔治-卡尔;0;0;71;0;0;1;1;36;44;35;38;10
詹姆斯-伯雷格;0;0;45;0;0;0;1;40;40;38;35;10
阿尔文-金特里;0;0;68;0;0;0;2;43;37;36;44;10
