No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;rings;mvps;fmvps;allTeam1;allTeam2;allTeam3
0001;保罗-皮尔斯;Paul Pierce;3;2;10;70;81;87;85;88;65;72;82;85;85;81;85;80;84;34;13;凯尔特人;1;4;12749689;0;199810;138;0;0;0;0;0;0;0
0002;凯文-加内特;Kevin Garnett;4;5;11;68;90;67;87;95;86;87;85;88;69;82;83;96;90;35;16;凯尔特人;1;4;13152220;0;199505;39;0;1;1;0;4;3;2
0003;杰夫-格林;Jeff Green;4;5;8;58;83;79;82;82;73;75;74;74;77;81;78;79;79;25;4;凯尔特人;1;3;7600000;226;200705;222;0;0;0;0;0;0;0
0004;布兰登-巴斯;Brandon Bass;4;5;7;59;82;55;66;90;72;79;68;73;59;60;65;82;74;26;6;凯尔特人;1;4;8191301;0;200533;832;0;0;0;0;0;0;0
0005;雷-阿伦;Ray allen;2;0;9;64;80;92;85;85;62;65;73;80;94;82;85;74;80;36;15;凯尔特人;1;3;7658806;0;199605;15;0;1;0;0;0;1;1
0006;拉简-隆多;Rajon Rondo;1;0;9;96;85;68;75;90;62;67;88;81;67;72;84;83;84;25;5;凯尔特人;1;4;13719971;0;200621;126;0;1;0;0;0;0;0
0007;埃弗里-布拉德利;Avery Bradley;2;1;7;75;72;76;80;78;69;69;78;69;77;67;75;76;76;21;1;凯尔特人;1;3;4228699;0;201019;406;0;0;0;0;0;0;0
0008;马奎斯-丹尼尔斯;Marquis Daniels;2;3;6;63;70;62;66;78;65;67;66;65;65;56;62;70;65;30;8;凯尔特人;1;3;3275543;0;200300;2876;0;0;0;0;0;0;0
0009;迈克尔-皮特鲁斯;Mickael Pietrus;2;3;7;63;75;80;74;82;67;70;61;71;67;65;70;71;70;29;8;凯尔特人;1;3;4092880;0;200311;649;0;0;0;0;0;0;0
0010;伊托万-摩尔;E'Twaun Moore;2;1;6;62;64;68;65;75;63;62;64;63;70;55;62;66;63;22;0;凯尔特人;1;2;2887526;0;201155;1322;0;0;0;0;0;0;0
0011;亚历山大-帕夫洛维奇;Sasha Pavlović;2;3;6;64;68;66;69;77;60;62;63;64;68;59;64;65;64;28;8;凯尔特人;1;2;2714021;0;200319;1374;0;0;0;0;0;0;0
0012;克里斯-威尔考克斯;Chris Wilcox;4;5;6;62;77;54;63;82;72;73;62;67;56;57;62;75;69;29;9;凯尔特人;1;3;4163338;0;200208;2178;0;0;0;0;0;0;0
0013;肯扬-杜林;Keyon Dooling;1;2;6;67;72;63;70;77;64;60;70;65;67;59;66;68;67;31;11;凯尔特人;1;2;2852836;0;200010;447;0;0;0;0;0;0;0
0014;格雷格-斯蒂恩斯玛;Greg Stiemsma;5;0;6;60;78;57;60;80;67;74;63;67;58;55;63;73;68;26;0;凯尔特人;1;3;4600831;0;201100;3055;0;0;0;0;0;0;0
0015;杰梅因-奥尼尔;Jermaine ONeal;4;5;8;55;81;54;58;80;70;78;62;77;56;51;61;75;68;33;15;凯尔特人;1;3;5689899;0;199617;88;0;0;0;0;0;1;2
0016;贾胡安-约翰逊;JaJuan Johnson;4;0;6;59;70;60;64;80;68;67;61;65;61;57;61;70;66;22;10;凯尔特人;1;2;2927214;0;200127;1613;0;0;0;0;0;0;0
0017;德隆-威廉姆斯;Deron Williams;1;0;10;93;80;86;88;85;48;62;78;78;85;83;93;72;84;27;6;篮网;2;5;15480080;0;200503;149;0;0;0;0;0;2;0
0018;克里斯-亨弗里斯;Kris Humphries;4;3;8;62;83;55;81;80;79;85;75;81;57;74;72;84;78;26;7;篮网;2;4;12529782;0;200414;1046;0;0;0;0;0;0;0
0019;安东尼-莫罗;Anthony Morrow;2;0;8;65;71;81;82;79;64;68;68;70;81;71;75;71;73;26;3;篮网;2;3;5506632;0;200800;2118;0;0;0;0;0;0;0
0020;马尚-布鲁克斯;Marshon Brooks;2;0;7;73;74;76;76;77;68;71;74;68;77;68;74;74;74;22;0;篮网;2;3;6803741;0;201125;900;0;0;0;0;0;0;0
0021;杰拉德-格林;Gerald Green;2;3;7;70;77;77;71;79;70;68;73;69;77;63;73;74;74;25;6;篮网;2;3;6789000;0;200518;994;0;0;0;0;0;0;0
0022;谢尔登-威廉姆斯;Shelden Williams;4;5;7;63;78;58;68;78;76;78;73;69;59;62;65;79;73;28;6;篮网;2;3;5201421;0;200605;1537;0;0;0;0;0;0;0
0023;乔丹-威廉姆斯;Jordan Williams;5;0;5;65;71;57;65;70;69;73;62;61;58;60;63;69;66;21;0;篮网;2;3;3900901;0;201136;2188;0;0;0;0;0;0;0
0024;布鲁克-洛佩斯;Brook Lopez;5;0;8;66;82;72;78;83;79;78;65;71;66;74;76;81;78;23;3;篮网;2;4;9072555;0;200810;265;0;0;0;0;0;0;0
0025;乔汉-佩特洛;Johan Petro;5;0;6;60;74;67;70;73;70;73;61;64;66;64;67;71;69;25;6;篮网;2;3;4141984;0;200525;2078;0;0;0;0;0;0;0
0026;梅米特-奥库;Mehmet Okur;4;5;7;69;75;76;71;70;67;75;61;66;74;66;73;69;71;32;10;篮网;2;3;5208294;0;200138;178;0;1;0;0;0;0;0
0027;安德烈-埃梅特;Andre Emmett;3;2;5;61;72;64;70;71;65;65;67;61;65;61;63;66;66;29;7;篮网;2;2;2460368;0;200435;778;0;0;0;0;0;0;0
0028;德肖恩-史蒂文森;DeShawn Stevenson;2;3;6;65;68;73;70;70;66;68;69;63;74;60;67;68;68;30;11;篮网;2;2;2767680;0;200023;1444;0;1;0;0;0;0;0
0029;丹尼斯-霍纳;Dennis Horner;4;0;5;63;72;61;68;73;69;67;60;62;62;61;64;68;66;23;0;篮网;2;2;2031030;0;201100;3065;0;0;0;0;0;0;0
0030;达迈-詹姆斯;Damion James;3;0;6;66;71;65;62;74;70;69;63;64;66;55;63;69;67;24;1;篮网;2;3;4740517;0;201024;1629;0;0;0;0;0;0;0
0031;杰里-史密斯;Jerry Smith;1;0;5;71;65;66;67;69;61;65;66;60;69;57;66;65;65;25;0;篮网;2;2;2439340;0;201100;3066;0;0;0;0;0;0;0
0032;拉里-欧文斯;Larry Owens;3;0;5;65;69;69;61;71;62;67;68;61;70;54;63;66;66;28;1;篮网;2;2;2658894;0;201000;3067;0;0;0;0;0;0;0
0033;基斯-博甘斯;Keith Bogans;2;3;6;70;66;75;73;73;63;68;65;63;76;64;70;67;69;31;8;篮网;2;2;2847205;0;200343;867;0;0;0;0;0;0;0
0034;乔丹-法玛尔;Jordan Farmar;2;0;7;78;71;78;77;75;65;70;76;67;78;70;77;73;75;25;5;篮网;2;3;5795610;0;200626;959;0;2;0;0;0;0;0
0035;肖恩-威廉姆斯;Shawne Williams;2;3;6;65;68;65;75;70;70;69;63;63;67;64;65;67;66;25;5;篮网;2;3;3566898;0;200617;1536;0;0;0;0;0;0;0
0036;桑迪亚塔-盖恩斯;Sundiata Gaines;1;2;5;72;70;69;73;70;62;69;70;61;72;63;70;68;69;25;2;篮网;2;1;854389;0;200900;3064;0;0;0;0;0;0;0
0037;卡梅隆-安东尼;Carmelo Anthony;3;4;10;72;90;85;94;93;70;75;72;88;85;95;92;81;88;27;8;尼克斯;3;5;14669269;0;200303;18;0;0;0;0;0;1;3
0038;泰森-钱德勒;Tyson Chandler;5;4;8;57;84;53;72;90;89;92;62;77;54;66;68;92;81;29;10;尼克斯;3;4;10542717;0;200102;292;0;1;0;0;0;0;0
0039;兰德里-菲尔兹;Landry Fields;3;2;7;62;78;69;73;76;64;73;76;68;70;65;69;74;72;23;1;尼克斯;3;3;5980189;0;201039;962;0;0;0;0;0;0;0
0040;JR-史密斯;J.R. Smith;2;3;8;68;77;85;78;86;68;70;74;77;85;68;79;78;78;26;7;尼克斯;3;4;7616007;0;200418;296;0;0;0;0;0;0;0
0041;伊曼-香珀特;Iman Shumpert;2;3;7;71;72;78;75;81;61;68;78;68;72;66;73;75;74;21;0;尼克斯;3;3;6264224;0;201117;725;0;0;0;0;0;0;0
0042;阿玛雷-斯塔德迈尔;Amar'e Stoudemire;4;5;10;67;93;67;81;90;79;88;65;88;67;80;84;89;87;29;9;尼克斯;3;4;11336688;0;200209;144;0;0;0;0;1;4;0
0043;林书豪;Jeremy Lin;1;2;9;83;80;78;83;84;61;65;74;77;78;76;85;74;80;23;1;尼克斯;3;4;10116935;0;201000;124;0;0;0;0;0;0;0
0044;史蒂夫-诺瓦克;Steve Novak;4;3;7;55;67;85;82;73;67;68;63;65;81;71;72;68;70;28;5;尼克斯;3;3;4377066;0;200632;1370;0;0;0;0;0;0;0
0045;约什-哈雷尔森;Josh Harrellson;5;4;6;57;70;67;61;78;71;73;67;65;66;55;63;74;69;22;0;尼克斯;3;3;4157938;0;201145;1007;0;0;0;0;0;0;0
0046;托尼-道格拉斯;Toney Douglas;1;2;7;73;69;76;74;76;56;64;76;66;78;69;74;70;73;25;2;尼克斯;3;3;4089948;0;200929;927;0;0;0;0;0;0;0
0047;贾里德-杰弗里斯;Jared Jeffries;4;3;6;65;72;66;68;73;68;71;70;64;66;62;66;71;69;30;9;尼克斯;3;3;4350755;0;200211;1888;0;0;0;0;0;0;0
0048;拜伦-戴维斯;Baron Davis;1;0;7;81;72;75;76;73;57;61;71;73;71;68;77;66;72;32;12;尼克斯;3;3;5093310;0;199903;97;0;0;0;0;0;0;1
0049;比尔-沃克;Bill Walker;2;3;6;68;65;70;71;77;61;67;63;63;72;61;67;67;67;24;3;尼克斯;3;3;4032905;0;200847;1555;0;0;0;0;0;0;0
0050;雷纳尔多-巴尔克曼;Renaldo Balkman;3;4;6;62;68;63;69;72;67;68;63;63;65;60;62;67;66;27;5;尼克斯;3;2;2986191;0;200620;826;0;0;0;0;0;0;0
0051;迈克-毕比;Mike Bibby;1;0;7;76;62;76;68;75;57;61;69;65;78;59;72;66;69;33;13;尼克斯;3;3;3239090;0;199802;196;0;0;0;0;0;0;0
0052;杰罗姆-乔丹;Jerome Jordan;5;0;5;58;69;59;67;71;72;75;60;61;59;60;61;71;66;25;1;尼克斯;3;2;2688211;0;201044;1408;0;0;0;0;0;0;0
