No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;rings;mvps;fmvps;allTeam1;allTeam2;allTeam3
1;特里蒙特-沃特斯;Tremont Waters;1;2;7;64;61;66;59;68;61;60;63;63;69;49;60;61;61;23;1;凯尔特人;1;1;700000;0;201951;2221;0;0;0;0;0;0;0
2;亚姆-马达尔;Yam Madar;1;0;5;74;69;69;74;61;44;60;59;59;72;64;71;53;63;19;0;凯尔特人;1;2;1400000;0;202047;1994;0;0;0;0;0;0;0
3;谢米-奥杰莱;Semi Ojeleye;4;5;6;57;72;52;54;78;60;74;59;65;54;48;55;68;62;26;3;凯尔特人;1;1;700000;0;201737;1682;0;0;0;0;0;0;0
4;卡森-爱德华兹;Carsen Edwards;2;1;5;67;63;69;68;68;50;55;61;60;71;58;64;56;60;22;1;凯尔特人;1;3;1228026;0;201933;1671;0;0;0;0;0;0;0
5;格兰特-威廉姆斯;Grant Williams;4;3;7;53;71;76;73;73;67;73;75;66;74;63;68;73;70;22;1;凯尔特人;1;3;3000000;0;201922;1523;0;0;0;0;0;0;0
6;佩顿-普理查德;Payton Pritchard;1;0;5;68;76;74;74;65;47;66;51;61;76;63;72;54;64;22;0;凯尔特人;1;4;3200000;0;202026;1400;0;0;0;0;0;0;0
7;阿隆-内史密斯;Aaron Nesmith;2;3;8;51;77;82;76;77;68;65;68;71;82;63;70;70;70;20;0;凯尔特人;1;4;3900000;0;202014;1353;0;0;0;0;0;0;0
8;罗密欧-兰福德;Romeo Langford;2;3;6;66;71;68;73;73;62;70;68;64;70;63;67;69;68;21;1;凯尔特人;1;3;4500000;0;201914;1195;0;0;0;0;0;0;0
9;贾文特-格林;Javonte Green;2;3;5;59;72;67;71;74;60;59;68;62;69;60;63;65;64;27;1;凯尔特人;1;3;590000;0;201900;993;0;0;0;0;0;0;0
10;塔科-法尔;Tacko Fall;5;0;5;50;63;40;60;63;73;73;45;59;44;52;49;65;57;25;1;凯尔特人;1;3;1700000;0;201900;958;0;0;0;0;0;0;0
11;特里斯坦-汤普森;Tristan Thompson;5;4;7;61;79;49;67;79;71;84;63;69;51;62;63;78;71;29;9;凯尔特人;1;2;9500000;0;201104;695;0;1;0;0;0;0;0
12;丹尼尔-泰斯;Daniel Theis;4;5;7;57;70;52;60;72;65;74;56;66;54;53;56;67;62;28;6;凯尔特人;1;1;5000000;0;201300;691;0;0;0;0;0;0;0
13;杰夫-蒂格;Jeff Teague;1;0;8;81;78;74;86;78;52;60;65;72;76;78;82;64;74;32;11;凯尔特人;1;1;6000000;0;200919;444;0;0;0;0;0;0;0
14;罗伯特-威廉姆斯;Robert Williams;4;5;8;50;66;59;63;84;86;85;78;70;60;53;57;89;74;23;2;凯尔特人;1;2;1000000;0;201827;314;0;0;0;0;0;0;0
15;马库斯-斯玛特;Marcus Smart;1;2;8;74;77;74;77;77;43;69;71;71;76;68;76;67;72;26;6;凯尔特人;1;2;13000000;0;201406;300;0;0;0;0;0;0;0
16;肯巴-沃克;Kemba Walker;1;0;9;81;82;79;79;85;51;67;83;78;80;72;83;77;80;30;9;凯尔特人;1;3;30000000;0;201109;155;0;0;0;0;0;0;1
17;杰森-塔图姆;Jayson Tatum;3;2;10;80;87;84;86;90;70;73;75;85;82;83;89;80;86;22;3;凯尔特人;1;5;39900000;0;201703;146;0;0;0;0;0;0;3
18;杰伦-布朗;Jaylen Brown;2;3;10;73;83;85;86;87;70;70;75;82;84;78;84;79;82;24;4;凯尔特人;1;4;22990000;0;201603;96;0;0;0;0;0;0;0
19;杰伊-斯库布;Jay Scrubb;2;3;6;61;74;74;76;70;60;66;53;64;75;65;69;60;65;20;0;篮网;2;2;750000;0;202055;2139;0;0;0;0;0;0;0
20;克里斯-奇奥萨;Chris Chiozza;1;2;5;62;60;62;56;64;58;59;60;59;66;46;56;58;57;25;2;篮网;2;1;500000;0;201800;2096;0;1;0;0;0;0;0
21;杰雷米亚-马丁;Jeremiah Martin;2;1;5;60;59;60;56;64;59;60;59;58;63;46;54;58;56;24;1;篮网;2;1;500000;0;201900;1995;0;0;0;0;0;0;0
22;布鲁斯-布朗;Bruce Brown;2;3;7;69;76;74;76;74;56;74;67;68;75;67;73;68;71;24;2;篮网;2;1;1660000;0;201842;1739;0;0;0;0;0;0;0
23;埃利-奥科博;Elie Okobo;2;3;5;62;60;61;59;69;60;60;59;59;64;49;56;60;58;23;2;篮网;2;1;2000000;0;201831;1683;0;0;0;0;0;0;0
24;兰德里-沙梅特;Landry Shamet;1;2;6;61;65;65;61;60;50;45;54;60;68;50;60;47;54;23;2;篮网;2;2;2090000;0;201826;1441;0;0;0;0;0;0;0
25;蒂莫泰-卢瓦乌-卡巴罗;Timothe Luwawu-Cabarrot;2;3;7;62;74;72;70;76;65;64;60;68;73;60;67;65;66;25;4;篮网;2;1;1820000;0;201624;1227;0;0;0;0;0;0;0
26;尼古拉斯-克拉克斯顿;Nicolas Claxton;4;5;5;60;71;60;68;70;68;71;45;61;61;61;62;64;63;21;1;篮网;2;3;1500000;0;201931;1145;0;0;0;0;0;0;0
27;卡里斯-勒韦尔;Caris LeVert;2;1;8;68;85;82;80;80;42;62;66;74;82;71;79;62;72;26;4;篮网;2;3;16200000;0;201620;576;0;0;0;0;0;0;0
28;罗季翁斯-库鲁茨;Rodions Kurucs;3;4;5;60;60;60;58;69;59;63;59;59;62;49;54;60;58;23;2;篮网;2;3;1700000;0;201840;559;0;0;0;0;0;0;0
29;乔-哈里斯;Joe Harris;2;3;7;56;74;82;76;74;41;56;59;67;82;64;71;55;64;29;6;篮网;2;4;18750000;0;201433;486;0;0;0;0;0;0;0
30;贾勒特-阿伦;Jarrett Allen;5;4;7;52;72;50;65;82;86;88;53;68;52;58;58;85;72;22;3;篮网;2;1;1400000;0;201722;342;0;0;0;0;0;0;0
31;德安德鲁-乔丹;DeAndre Jordan;5;0;9;50;82;40;52;91;85;97;58;80;44;46;56;92;75;32;12;篮网;2;3;10000000;0;200835;293;0;0;0;0;1;0;2
32;托里恩-普林斯;Taurean Prince;3;0;8;70;82;78;76;76;60;61;70;72;77;70;77;66;73;26;4;篮网;2;2;13940000;0;201612;291;0;0;0;0;0;0;0
33;杰夫-格林;Jeff Green;4;3;6;63;80;72;76;80;64;70;66;67;71;69;73;71;72;34;13;篮网;2;1;2500000;0;200705;222;0;0;0;0;0;0;0
34;斯潘塞-丁威迪;Spencer Dinwiddie;1;2;8;82;80;77;74;84;51;51;59;74;79;67;81;60;71;27;6;篮网;2;2;10000000;0;201438;208;0;0;0;0;0;0;0
35;凯里-欧文;Kyrie Irving;1;2;10;77;87;88;86;90;60;66;82;85;88;78;89;80;85;28;9;篮网;2;3;33330000;0;201101;136;0;1;0;0;0;1;1
36;凯文-杜兰特;Kevin Durant;3;4;11;73;90;93;95;85;83;84;78;88;90;89;93;87;92;32;13;篮网;2;3;39060000;0;200702;29;0;2;1;2;6;3;0
