name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
布拉德-史蒂文斯;凯尔特人;1;44;3;3700000;2;1;35;44;44;36;5
斯蒂夫-纳什;篮网;2;46;4;4500000;0;0;37;42;43;38;5
汤姆-锡伯杜;尼克斯;3;63;4;3000000;1;0;40;35;38;45;5
道格-里弗斯;76人;4;59;5;8000000;1;1;38;38;41;39;5
尼克-纳斯;猛龙;5;53;4;3500000;1;1;39;38;37;44;5
比利-多诺万;公牛;6;55;4;6000000;1;1;41;39;41;41;5
JB-比克斯塔夫;骑士;7;41;4;3000000;1;1;44;37;36;44;5
德维恩-凯西;活塞;8;63;2;2000000;1;1;39;40;41;38;5
内特-麦克米兰;步行者;9;56;3;3000000;1;0;45;37;36;43;5
迈克-布登霍尔泽;雄鹿;10;51;3;3500000;2;1;35;44;43;37;5
劳埃德-皮尔斯;老鹰;11;44;4;3000000;1;0;38;42;44;37;5
詹姆斯-伯雷格;黄蜂;12;43;3;2200000;0;1;39;39;38;38;5
埃里克-斯波尔斯特拉;热火;13;50;3;2000000;2;1;38;36;38;45;5
斯蒂夫-克里福德;魔术;14;59;3;2000000;0;1;39;38;37;44;5
斯科特-布鲁克斯;奇才;15;55;5;7000000;1;1;38;41;39;38;5
里克-卡莱尔;独行侠;16;61;4;7000000;2;1;37;44;44;37;5
斯蒂芬-塞拉斯;火箭;17;47;4;4000000;1;0;38;40;39;38;5
泰勒-詹金斯;灰熊;18;36;4;3000000;1;1;35;43;44;38;5
斯坦-范甘迪;鹈鹕;19;61;4;5000000;1;0;40;38;39;45;5
格雷格-波波维奇;马刺;20;72;1;8000000;2;2;45;37;42;40;5
迈克-马龙;掘金;21;49;3;2000000;1;1;41;40;38;41;5
莱恩-桑德斯;森林狼;22;34;5;1500000;0;0;35;44;42;36;5
特里-斯托茨;开拓者;23;63;5;4000000;1;1;36;42;42;37;5
马克-戴格诺特;雷霆;24;35;2;3000000;0;2;39;40;41;38;5
奎因-斯奈德;爵士;25;54;3;2000000;0;1;38;42;42;36;5
斯蒂夫-科尔;勇士;26;55;3;5000000;1;2;37;41;42;38;5
泰伦-卢;快船;27;43;5;7000000;0;2;38;43;42;36;5
弗兰克-沃格尔;湖人;28;66;4;5500000;1;1;37;35;36;44;5
蒙蒂-威廉姆斯;太阳;29;49;4;1500000;2;1;36;44;43;36;5
卢克-沃顿;国王;30;40;5;1500000;0;0;35;42;43;39;5
戴夫-乔格尔;0;0;46;0;0;1;1;39;37;37;44;5
厄尔-沃特森;0;0;41;0;0;0;1;41;41;38;39;5
布雷特-布朗;0;0;59;0;0;0;1;35;45;43;36;5
杰夫-霍纳塞克;0;0;57;0;0;0;0;39;38;39;39;5
阿尔文-金特里;0;0;66;0;0;0;2;35;44;42;36;5
贾森-基德;0;0;47;0;0;1;1;37;45;41;38;5
大卫-费兹戴尔;0;0;46;0;0;0;0;39;39;41;40;5
弗雷德-霍伊博格;0;0;48;0;0;1;1;39;40;40;40;5
肯尼-阿特金森;0;0;53;0;0;0;1;38;44;41;37;5
迈克-德安东尼;0;0;69;0;0;1;1;34;46;45;35;5
德里克-费舍尔;0;0;46;0;0;-2;-2;39;39;39;41;5
埃托雷-梅西纳;0;0;61;0;0;1;1;39;36;38;46;5
布莱恩-肖;0;0;54;0;0;0;0;38;38;39;41;5
蒙蒂-威廉姆斯;0;0;49;0;0;2;1;36;44;43;36;5
莱昂内尔-霍林斯;0;0;67;0;0;1;1;37;38;39;43;5
大卫-布拉特;0;0;61;0;0;1;0;40;39;41;39;5
兰迪-惠特曼;0;0;61;0;0;1;1;38;40;40;38;5
拜伦-斯科特;0;0;59;0;0;0;0;42;36;36;42;5
乔治-卡尔;0;0;69;0;0;1;1;35;46;43;38;5
斯科特-斯凯尔斯;0;0;56;0;0;1;1;38;37;38;43;5
凯文-麦克海尔;0;0;63;0;0;0;0;45;36;42;41;5
吉姆-博伊兰;0;0;55;0;0;0;0;38;40;40;40;5
