No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;allStars;allStarsMvps;allTeam1;allTeam2;allTeam3;best3ptsers;bestBlockers;bestPassers;bestRebounders;bestRookie;bestScorers;bestStealers;defTeam1;defTeam2;defTeam3;dpoy;fmvps;mvps;rings;sixmans
1;凯文-加内特;Kevin Garnett;4;5;8;69;88;61;87;82;79;83;79;84;64;85;81;85;83;33;14;凯尔特人;1;1;25000000;0;199505;39;0;11;1;4;3;2;0;0;0;4;0;0;0;7;2;0;0;0;1;1;0
2;保罗-皮尔斯;Paul Pierce;3;2;8;73;77;82;84;85;64;70;71;82;84;86;84;74;80;32;10;凯尔特人;1;2;18000000;0;199810;138;0;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
3;雷-阿伦;Ray allen;2;3;8;70;76;91;82;80;63;64;68;76;90;80;84;70;77;34;14;凯尔特人;1;2;18500000;0;199605;15;0;8;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
4;拉简-隆多;Rajon Rondo;1;0;10;90;84;60;64;77;60;74;86;86;61;73;78;79;78;23;2;凯尔特人;1;2;1300000;0;200621;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
5;肯德里克-帕金斯;Kendrick Perkins;5;4;6;62;77;57;68;80;86;85;60;84;57;74;70;84;78;24;5;凯尔特人;1;3;4600000;0;200327;640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
6;托尼-阿伦;Tony Allen;2;3;8;64;76;60;63;84;70;65;78;78;61;62;63;77;70;27;4;凯尔特人;1;2;2500000;0;200425;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
7;布莱恩-斯卡拉布莱恩;Brian Scalabrine;4;5;6;61;61;64;60;75;64;62;62;65;72;66;62;65;64;31;7;凯尔特人;1;2;3200000;0;200135;1459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
8;比尔-沃克;Bill Walker;2;0;7;60;67;58;60;75;60;62;62;66;72;62;60;64;62;22;0;凯尔特人;1;2;540000;0;200847;1555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
9;格伦-戴维斯;Glen Davis;4;5;7;63;67;50;67;80;64;70;67;75;53;60;61;71;66;23;1;凯尔特人;1;1;710000;0;200735;430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10;加布-普鲁伊特;Gabe Pruitt;1;2;6;62;62;62;64;74;55;62;62;63;67;64;61;62;62;23;1;凯尔特人;1;1;700000;0;200732;1401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
