name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
艾米-乌度卡;凯尔特人;1;44;2;4000000;2;0;45;35;38;42;5
斯蒂夫-纳什;篮网;2;47;4;4500000;0;0;37;42;43;38;5
汤姆-锡伯杜;尼克斯;3;64;4;3000000;1;0;40;35;38;45;5
道格-里弗斯;76人;4;60;5;5000000;1;1;38;38;41;39;5
尼克-纳斯;猛龙;5;54;4;3500000;1;1;39;38;37;44;5
比利-多诺万;公牛;6;56;4;5000000;1;1;41;39;41;41;5
JB-比克斯塔夫;骑士;7;42;4;3000000;1;1;44;37;36;44;5
德维恩-凯西;活塞;8;64;2;2000000;1;1;39;40;41;38;5
里克-卡莱尔;步行者;9;62;3;3000000;2;1;37;44;44;37;5
迈克-布登霍尔泽;雄鹿;10;52;3;3500000;2;1;35;44;43;37;5
内特-麦克米兰;老鹰;11;57;3;3000000;1;0;45;37;36;43;5
詹姆斯-伯雷格;黄蜂;12;44;3;2200000;0;1;39;39;38;38;5
埃里克-斯波尔斯特拉;热火;13;51;3;3000000;2;1;38;36;38;45;5
贾马尔-莫斯利;魔术;14;43;2;3500000;0;1;39;38;39;45;5
小韦斯-昂塞尔德;奇才;15;46;3;4000000;1;0;42;36;38;43;5
贾森-基德;独行侠;16;48;2;4000000;1;1;37;45;41;38;5
斯蒂芬-塞拉斯;火箭;17;48;4;4000000;1;0;38;40;39;38;5
泰勒-詹金斯;灰熊;18;37;4;3000000;1;1;35;43;44;38;5
威利-格林;鹈鹕;19;40;2;4000000;1;1;42;34;41;41;5
格雷格-波波维奇;马刺;20;73;1;6000000;2;2;45;37;42;40;5
迈克-马龙;掘金;21;50;3;2000000;1;1;41;40;38;41;5
克里斯-芬奇;森林狼;22;52;3;4000000;1;1;44;37;40;43;5
昌西-比卢普斯;开拓者;23;45;2;3000000;0;1;43;35;36;42;5
马克-戴格诺特;雷霆;24;36;2;3000000;0;2;39;40;41;38;5
奎因-斯奈德;爵士;25;55;3;2000000;0;1;38;42;42;36;5
斯蒂夫-科尔;勇士;26;56;3;5000000;1;2;37;41;42;38;5
泰伦-卢;快船;27;44;5;5000000;0;2;38;43;42;36;5
弗兰克-沃格尔;湖人;28;67;4;5500000;1;1;37;35;36;44;5
蒙蒂-威廉姆斯;太阳;29;50;4;1500000;2;1;36;44;43;36;5
阿尔文-金特里;国王;30;67;1;2000000;0;2;35;44;42;36;5
戴夫-乔格尔;0;0;47;0;0;1;1;39;37;37;44;5
吉姆-博伊兰;0;0;56;0;0;0;0;38;40;40;40;5
弗雷德-霍伊博格;0;0;49;0;0;1;1;39;40;40;40;5
凯文-麦克海尔;0;0;64;0;0;0;0;45;36;42;41;5
迈克-德安东尼;0;0;70;0;0;1;1;34;46;45;35;5
莱恩-桑德斯;0;0;35;0;0;0;0;35;44;42;36;5
兰迪-惠特曼;0;0;62;0;0;1;1;38;40;40;38;5
迈克-布朗;0;0;51;0;0;0;1;39;38;39;45;5
厄尔-沃特森;0;0;42;0;0;0;1;41;41;38;39;5
杰夫-霍纳塞克;0;0;58;0;0;0;0;39;38;39;39;5
卢克-沃顿;0;0;41;0;0;0;0;35;42;43;39;5
德里克-费舍尔;0;0;47;0;0;-2;-2;39;39;39;41;5
劳埃德-皮尔斯;0;0;45;0;0;1;0;38;42;44;37;5
肯尼-阿特金森;0;0;54;0;0;0;1;38;44;41;37;5
大卫-费兹戴尔;0;0;47;0;0;0;0;39;39;41;40;5
斯科特-斯凯尔斯;0;0;57;0;0;1;1;38;37;38;43;5
斯蒂夫-克里福德;0;0;60;0;0;0;1;39;38;37;44;5
大卫-布拉特;0;0;62;0;0;1;0;40;39;41;39;5
特里-斯托茨;0;0;64;0;0;1;1;36;42;42;37;5
斯科特-布鲁克斯;0;0;56;0;0;1;1;38;41;39;38;5
莱昂内尔-霍林斯;0;0;68;0;0;1;1;37;38;39;43;5
斯坦-范甘迪;0;0;62;0;0;1;0;40;38;39;45;5
乔治-卡尔;0;0;70;0;0;1;1;35;46;43;38;5
拜伦-斯科特;0;0;60;0;0;0;0;42;36;36;42;5
布雷特-布朗;0;0;60;0;0;0;1;35;45;43;36;5
布拉德-史蒂文斯;0;0;45;0;0;2;1;35;44;44;36;5
布莱恩-肖;0;0;55;0;0;0;0;38;38;39;41;5
埃托雷-梅西纳;0;0;62;0;0;1;1;39;36;38;46;5
