No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;rings;mvps;fmvps;allTeam1;allTeam2;allTeam3
1;保罗-皮尔斯;Paul Pierce;2;3;10;76;86;83;85;94;70;79;88;86;83;85;87;89;88;25;5;凯尔特人;1;6;15000000;0;199810;138;0;0;0;0;0;0;2
2;里基-戴维斯;Ricky Davis;3;2;7;65;79;77;79;84;61;70;77;71;76;71;75;75;76;23;5;凯尔特人;1;5;5900000;0;199821;431;0;0;0;0;0;0;0
3;查基-阿特金斯;Chucky Atkins;1;0;7;78;76;84;78;67;58;62;67;66;85;69;82;63;73;28;4;凯尔特人;1;3;4200000;0;0;769;0;0;0;0;0;0;0
4;马克-布朗特;Mark Blount;5;0;6;55;82;40;75;77;79;81;58;67;44;68;62;78;71;27;3;凯尔特人;1;1;940000;0;199755;891;0;0;0;0;0;0;0
5;沃尔特-麦卡蒂;Walter McCarty;4;3;6;57;78;66;68;81;63;75;59;68;66;61;67;71;69;28;7;凯尔特人;1;2;1300000;0;0;2854;0;0;0;0;0;0;0
6;里夫-拉弗伦茨;Raef LaFrentz;5;0;6;40;75;67;58;71;77;82;65;64;66;49;58;77;68;26;5;凯尔特人;1;6;10000000;0;199803;1175;0;0;0;0;0;0;0
7;克里斯-米姆;Chris Mihm;5;4;5;46;78;49;78;77;60;90;60;63;51;68;61;75;68;23;3;凯尔特人;1;1;2800000;0;200007;623;0;0;0;0;0;0;0
8;耶里-维尔什科;Jiří Welsch;2;3;6;68;76;73;76;74;40;52;70;65;74;67;72;58;65;22;1;凯尔特人;1;3;1400000;0;200216;2759;0;0;0;0;0;0;0
9;马库斯-班克斯;Marcus Banks;1;2;4;65;76;72;80;83;40;40;59;61;74;68;72;54;64;21;0;凯尔特人;1;4;1800000;0;200313;836;0;0;0;0;0;0;0
10;迈克尔-斯图尔特;Michael Stewart;5;0;4;45;66;40;68;77;81;74;40;59;44;58;51;73;63;27;6;凯尔特人;1;2;4400000;0;0;2856;0;0;0;0;0;0;0
11;肯德里克-帕金斯;Kendrick Perkins;5;0;7;40;65;40;61;73;81;77;45;65;44;51;48;74;62;18;0;凯尔特人;1;4;950000;0;200327;640;0;0;0;0;0;0;0
12;朱梅因-琼斯;Jumaine Jones;3;2;5;41;77;61;74;76;50;57;60;63;63;60;58;58;59;23;4;凯尔特人;1;3;1600000;0;199927;2104;0;0;0;0;0;0;0
13;达纳-巴罗斯;Dana Barros;2;1;6;44;82;40;75;69;63;81;49;65;46;61;51;63;57;35;13;凯尔特人;1;1;900000;0;0;370;0;0;0;0;0;0;0
14;杰森-基德;Jason Kidd;1;0;11;96;81;77;82;94;64;75;92;77;81;79;89;89;89;29;9;篮网;2;6;18000000;0;199402;38;0;0;0;0;4;1;0
15;肯扬-马丁;Kenyon Martin;4;5;7;61;88;57;72;88;82;91;78;74;59;66;69;91;81;25;3;篮网;2;1;5000000;0;200001;268;0;0;0;0;0;0;0
16;理查德-杰弗森;Richard Jefferson;3;2;8;64;82;82;81;90;57;71;73;73;80;73;78;75;78;22;2;篮网;2;2;2000000;0;200113;238;0;0;0;0;0;0;0
17;克里-基特尔斯;Kerry Kittles;2;3;7;57;77;76;74;80;58;69;76;69;77;63;69;73;71;28;6;篮网;2;2;9200000;0;0;2878;0;0;0;0;0;0;0
18;阿隆-威廉姆斯;Aaron Williams;5;4;6;40;79;40;78;75;75;84;50;66;44;67;57;76;67;31;9;篮网;2;3;3375000;0;0;2879;0;0;0;0;0;0;0
19;阿朗佐-莫宁;Alonzo Mourning;5;4;9;40;85;40;68;65;85;83;40;72;44;59;57;74;66;32;10;篮网;2;3;4800000;0;199202;133;0;0;0;0;1;1;0
20;罗德尼-罗杰斯;Rodney Rogers;4;3;7;64;77;81;73;68;54;70;54;66;78;67;74;60;66;31;10;篮网;2;1;3000000;0;199309;594;0;0;0;0;0;0;0
21;杰森-科林斯;Jason Collins;5;4;6;46;80;40;77;67;71;83;45;64;44;67;58;70;64;24;2;篮网;2;2;1527480;0;0;1924;0;0;0;0;0;0;0
22;鲁西奥斯-哈里斯;Lucious Harris;1;2;7;61;78;78;71;85;40;40;62;71;80;59;71;56;64;32;10;篮网;2;2;2500000;0;199328;1014;0;0;0;0;0;0;0
23;佐兰-普拉尼尼奇;Zoran Planinic;2;1;6;75;67;67;82;85;44;49;45;65;69;73;72;52;63;20;0;篮网;2;4;1127280;0;200322;2084;0;0;0;0;0;0;0
24;内纳德-科斯蒂奇;Nenad Krstić;5;4;6;42;81;40;70;77;64;74;43;67;44;60;56;67;62;19;0;篮网;2;1;520000;0;200224;547;0;0;0;0;0;0;0
25;休伯特-戴维斯;Hubert Davis;2;3;6;60;68;87;85;72;40;42;45;63;86;72;75;44;61;32;11;篮网;2;1;940000;0;199220;918;0;0;0;0;0;0;0
26;布莱恩-斯卡拉布莱恩;Brian Scalabrine;4;3;3;42;72;82;76;69;40;57;57;57;79;63;65;51;58;24;2;篮网;2;2;850000;0;200135;1459;0;0;0;0;0;0;0
27;斯蒂芬-马布里;Stephon Marbury;1;0;8;92;82;83;79;88;51;57;84;76;84;75;89;75;83;25;7;尼克斯;3;6;17000000;0;199604;129;0;0;0;0;0;0;2
28;阿兰-休斯顿;Allan Houston;2;3;8;70;82;82;87;78;58;61;67;73;82;78;82;66;75;31;10;尼克斯;3;3;12000000;0;199311;159;0;0;0;0;0;0;0
29;安芬尼-哈达威;Anfernee Hardaway;2;1;9;84;77;78;79;78;50;54;65;74;78;74;82;61;72;31;10;尼克斯;3;3;12000000;0;199303;105;0;0;0;0;2;0;1
30;科特-托马斯;Kurt Thomas;4;5;7;54;81;53;76;81;69;86;60;70;55;67;64;77;71;30;8;尼克斯;3;5;6200000;0;199510;1505;0;0;0;0;0;0;0
31;蒂姆-托马斯;Tim Thomas;3;4;7;56;78;77;71;86;52;71;72;72;76;61;69;72;71;25;6;尼克斯;3;3;12900000;0;199707;1503;0;0;0;0;0;0;0
32;迪肯贝-穆托姆博;Dikembe Mutombo;5;0;9;48;78;50;63;71;90;91;43;72;52;55;59;82;71;36;12;尼克斯;3;2;4200000;0;199104;135;0;0;0;0;0;1;2
33;纳兹尔-莫罕默德;Nazr Mohammed;5;0;6;58;81;56;60;78;62;84;49;67;57;55;63;71;67;25;5;尼克斯;3;3;5200000;0;0;1326;0;0;0;0;0;0;0
34;穆奇-诺里斯;Moochie Norris;1;0;6;66;70;74;73;85;40;41;62;66;76;61;70;56;64;29;6;尼克斯;3;3;3850000;0;199633;2062;0;0;0;0;0;0;0
35;山顿-安德森;Shandon Anderson;2;3;7;56;76;61;74;75;40;53;74;68;64;62;62;60;61;29;7;尼克斯;3;3;7300000;0;199654;796;0;0;0;0;0;0;0
36;德马尔-约翰逊;DerMarr Johnson;3;2;5;59;73;80;76;58;47;49;65;59;79;66;70;50;61;22;2;尼克斯;3;1;720000;0;200006;1611;0;0;0;0;0;0;0
37;文-贝克;Vin Baker;4;5;7;45;77;43;71;68;46;68;46;66;47;60;55;54;55;31;10;尼克斯;3;3;5200000;0;199308;383;0;0;0;0;0;1;1
38;迈克尔-斯维特尼;Michael Sweetney;4;5;6;41;72;40;56;60;47;82;57;62;45;46;47;59;53;20;0;尼克斯;3;4;2000000;0;200309;2151;0;0;0;0;0;0;0
39;奥塞拉-哈灵顿;Othella Harrington;4;3;5;40;75;40;72;56;49;79;40;59;45;60;52;53;52;28;7;尼克斯;3;3;3150000;0;199630;1827;0;0;0;0;0;0;0
40;阿伦-艾弗森;Allen Iverson;2;1;11;82;94;77;91;91;61;76;94;97;77;85;90;87;89;27;7;76人;4;6;18000000;0;199601;17;0;0;1;0;2;3;0
41;肯尼-托马斯;Kenny Thomas;4;5;7;56;85;66;73;80;76;89;80;71;66;66;70;85;78;25;4;76人;4;6;7500000;0;199922;2170;0;0;0;0;0;0;0
42;埃里克-斯诺;Eric Snow;1;2;7;87;73;68;81;86;45;50;76;70;71;74;80;67;74;29;8;76人;4;6;6100000;0;199543;1464;0;0;0;0;0;0;0
43;格伦-罗宾逊;Glenn Robinson;3;2;8;59;84;81;84;84;63;68;51;77;80;74;78;66;73;29;9;76人;4;2;11000000;0;199401;589;0;0;0;0;0;0;0
44;萨缪埃尔-戴勒姆波特;Samuel Dalembert;5;0;7;48;78;52;64;84;86;86;54;70;54;56;59;85;73;21;1;76人;4;2;1200000;0;0;426;0;0;0;0;0;0;0
45;阿隆-麦基;Aaron McKie;2;1;6;66;81;62;76;80;59;67;71;69;65;67;68;71;69;30;9;76人;4;3;5500000;0;199417;607;0;0;0;0;0;0;0
46;马克-杰克逊;Mark Jackson;4;5;7;55;78;58;67;76;75;80;48;68;59;59;63;73;68;27;3;76人;4;4;4500000;0;199738;529;0;0;0;0;0;0;0
47;凯尔-科沃尔;Kyle Korver;3;2;6;62;68;81;80;78;52;54;60;64;80;70;72;59;67;21;0;76人;4;2;500000;0;200351;249;0;0;0;0;0;0;0
48;德里克-科尔曼;Derrick Coleman;5;4;7;58;74;46;75;77;62;74;61;68;49;68;62;69;66;35;13;76人;4;3;4000000;0;199000;543;0;0;0;0;0;0;2
