name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
钟诚;吉林;1;36;0;0;1;1;45;37;36;43;5
杨鸣;辽宁;2;39;0;0;2;2;38;45;43;37;5
邱彪;山东;3;42;0;0;2;2;43;37;39;44;5
刘维伟;青岛;4;42;0;0;2;0;40;35;39;44;5
鲁刚;雪狼;5;44;0;0;0;1;39;41;40;40;5
许利民;北京;6;59;0;0;2;2;37;35;39;45;5
闵鹿蕾;0;0;61;0;0;1;1;37;37;38;44;5
周金利;天津;8;57;0;0;1;1;38;38;41;40;5
张庆鹏;北控;7;44;0;0;1;1;39;39;40;41;5
潘江;山西;9;40;0;0;3;1;37;43;42;35;5
王伟力;0;0;61;0;0;1;2;41;38;38;40;5
赵俊培;石家庄;10;51;0;0;1;2;38;38;40;40;5
刘炜;新疆;11;45;0;0;2;2;35;42;43;36;5
李维刚;焦作;12;36;0;0;2;0;38;40;39;40;5
韩硕;四川;13;39;0;0;1;1;38;39;40;40;5
代勇;武汉;14;45;0;0;0;1;38;38;39;38;5
张伟;长沙;15;62;0;0;1;2;41;41;41;39;5
黄文龙;0;0;62;0;0;1;2;40;40;40;38;5
易立;江苏;16;39;0;0;1;2;35;45;40;38;5
梅米-贝西洛维奇;0;0;64;0;0;2;2;36;43;43;35;5
张成;苏科;18;46;0;0;2;1;38;40;41;41;5
李骏;安徽;19;57;0;0;2;1;43;34;39;42;5
热夏提-克里木;合肥;20;36;0;0;2;0;38;39;39;40;5
卢伟;上海;21;40;0;0;1;1;43;37;39;45;5
王世龙;南京;17;44;0;0;1;1;40;39;38;38;5
佩罗-卡梅隆;0;0;51;0;0;1;0;41;38;40;38;5
马科普洛斯·哈里斯;宁波;23;43;0;0;1;0;39;40;39;40;5
王博;广厦;24;43;0;0;2;0;38;43;41;36;5
亚历山大-凯撒;福建;25;53;0;0;0;0;37;43;41;37;5
杜锋;广东;26;43;0;0;3;1;40;36;36;43;5
周鹏;0;0;35;0;1;0;1;41;38;41;41;5
迈克尔·凯利;0;0;58;0;0;1;1;38;38;40;38;5
内特·米切尔;广州;28;49;1;1;2;2;39;41;38;41;5
杨钦;广西;29;37;0;0;0;1;40;41;38;39;5
解立彬;香港;30;37;0;0;2;1;38;38;38;39;5
西热力江;0;0;34;0;0;2;2;37;44;43;35;5
刘鹏;0;0;1;0;0;-1;-1;41;40;38;41;5
朱世龙;0;0;49;0;0;-1;-1;38;40;38;39;5
高俊超;0;0;32;0;0;1;1;41;40;41;39;5
丁伟;0;22;57;0;0;1;0;36;46;42;35;5
亚历山德罗斯-法莱卡斯;浙江;22;49;0;0;1;0;36;43;43;38;5
邓宇;0;0;44;0;0;0;1;38;40;39;40;5
乔里欧-格里乔里;0;0;53;0;0;1;-1;40;38;41;40;5
杨学增;0;0;66;0;0;-1;1;34;43;43;38;5
刘志轩;0;0;34;0;0;1;1;40;39;40;41;5
布拉尼斯拉夫-维琴蒂奇;0;0;53;0;0;2;2;38;44;42;36;5
于梁;0;0;38;0;0;0;1;45;36;41;41;5
史利平;0;0;62;0;0;1;2;38;41;41;38;5
郑武;0;0;57;0;0;2;1;43;36;41;42;5
张勇;0;0;37;0;0;1;0;45;34;41;43;5
阿的江;0;0;57;0;0;1;0;44;37;42;40;5
郑永刚;深圳;27;55;0;0;0;1;41;40;39;40;5
郭士强;0;0;49;0;0;2;2;37;38;37;45;5
刘铁;0;0;54;0;0;2;1;39;39;40;40;5
乌戈-洛佩斯;0;0;49;0;0;0;0;38;40;40;38;5
张德贵;0;0;68;0;0;0;1;40;41;39;39;5
杨赞;0;0;40;0;0;1;1;40;40;41;39;5
王汝恒;0;0;35;0;0;1;1;38;38;39;40;5
李泓翰;0;0;30;0;0;1;1;41;39;39;38;5
杜佳伦;0;0;40;0;0;1;1;41;39;39;41;5
