image;name;nameBirth;potential;positionFirst;positionSecond;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;draft;info;stateHeight;stateWeight
1;迈克尔-乔丹;Michael Jordan;11;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;198;98
2;勒布朗-詹姆斯;LeBron James;11;3;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;206;113
3;卡里姆-阿布杜尔-贾巴尔;Kareem Abdul-Jabbar;11;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;218;102
4;埃尔文-约翰逊;Earvin Johnson;11;1;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;206;106
5;比尔-拉塞尔;Bill Russell;11;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;208;95
6;拉里-伯德;Larry Bird;11;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;206;100
7;蒂姆-邓肯;Tim Duncan;11;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;211;117
8;威尔特-张伯伦;Wilt Chamberlain;11;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;216;125
9;沙奎尔-奥尼尔;Shaquille O'Neal;11;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;216;147
10;科比-布莱恩特;Kobe Bryant;11;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;198;96
11;斯蒂芬-库里;Stephen Curry;11;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;191;86
12;哈基姆-奥拉朱旺;Hakeem Olajuwon;11;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;213;116
13;扬尼斯-阿德托昆博;Giannis Antetokounmpo;10;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;211;109
14;保罗-阿里金;Paul Arizin;10;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;196;93
15;雷-阿伦;Ray allen;10;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;196;93
16;奈特-阿奇博尔德;Nate Archibald;10;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;185;70
17;阿伦-艾弗森;Allen Iverson;10;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;183;75
18;卡梅隆-安东尼;Carmelo Anthony;10;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;203;109
19;韦斯-昂塞尔德;Wes Unseld;10;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;201;108
20;查尔斯-巴克利;Charles Barkley;10;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;198;114
21;里克-巴里;Rick Barry;10;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;201;95
22;克里斯-保罗;Chris Paul;10;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;183;79
23;埃尔金-贝勒;Elgin Baylor;10;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;196;102
24;戴夫-宾;Dave Bing;10;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;196;86
25;安东尼-戴维斯;Anthony Davis;10;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;208;115
26;戴夫-德布斯切尔;Dave Debusschere;10;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;198;95
27;克莱德-德雷克斯勒;Clyde Drexler;10;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;201;100
28;卢卡-东契奇;Luka Dončić;10;3;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;201;104
29;凯文-杜兰特;Kevin Durant;10;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;208;109
30;沃尔特-弗雷泽;Walt Frazier;10;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;193;91
31;哈尔-格里尔;Hal Greer;10;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;188;82
32;乔治-格文;George Gervin;10;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;201;82
33;詹姆斯-哈登;James Harden;10;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;196;100
34;约翰-哈夫利切克;John Havlicek;10;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;196;91
35;埃尔文-海耶斯;Elvin Hayes;10;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;206;107
36;德怀特-霍华德;Dwight Howard;10;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;211;120
37;康尼尔-霍金斯;Connie Hawkins;10;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;201;95
38;杰森-基德;Jason Kidd;10;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;193;95
39;凯文-加内特;Kevin Garnett;10;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;211;109
40;文斯-卡特;Vince Carter;10;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;198;100
41;比利-坎宁安;Billy Cunningham;10;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;196;95
42;戴夫-考恩斯;Dave Cowens;10;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;206;102
43;鲍勃-库西;Bob Cousy;10;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;185;77
44;威利斯-里德;Willis Reed;10;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;206;108
45;达米安-利拉德;Damian Lillard;10;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;188;88
46;杰里-卢卡斯;Jerry Lucas;10;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;201;102
