name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
钟诚;吉林;1;35;0;0;1;1;45;37;36;43;5
杨鸣;辽宁;2;38;0;0;2;2;38;45;43;37;5
邱彪;山东;3;41;0;0;2;2;43;37;39;44;5
刘维伟;青岛;4;41;0;0;2;0;40;35;39;44;5
鲁刚;雪狼;5;43;0;0;0;1;39;41;40;40;5
许利民;北京;6;58;0;0;2;2;37;35;39;45;5
闵鹿蕾;北控;7;60;0;0;1;1;37;37;38;44;5
张庆鹏;天津;8;43;0;0;1;1;39;39;40;41;5
潘江;山西;9;39;0;0;3;1;37;43;42;35;5
王伟力;石家庄;10;60;0;0;1;2;41;38;38;40;5
刘炜;新疆;11;44;0;0;2;2;35;42;43;36;5
李维刚;陕西;12;35;0;0;2;0;38;40;39;40;5
韩硕;四川;13;38;0;0;1;1;38;39;40;40;5
代勇;武汉;14;44;0;0;0;1;38;38;39;38;5
黄文龙;长沙;15;61;0;0;1;2;40;40;40;38;5
易立;江苏;16;38;0;0;1;2;35;45;40;38;5
梅米-贝西洛维奇;南京;17;63;0;0;2;2;36;43;43;35;5
张成;苏科;18;45;0;0;2;1;38;40;41;41;5
李骏;安徽;19;56;0;0;2;1;43;34;39;42;5
热夏提-克里木;合肥;20;35;0;0;2;0;38;39;39;40;5
卢伟;上海;21;39;0;0;1;1;43;37;39;45;5
王世龙;浙江;22;43;0;0;1;1;40;39;38;38;5
佩罗-卡梅隆;宁波;23;50;0;0;1;0;41;38;40;38;5
王博;广厦;24;42;0;0;2;0;38;43;41;36;5
亚历山大-凯撒;福建;25;52;0;0;0;0;37;43;41;37;5
杜锋;广东;26;42;0;0;3;1;40;36;36;43;5
周鹏;深圳;27;34;0;1;0;1;41;38;41;41;5
纳撒尼尔-米歇尔;广州;28;48;1;1;2;2;40;39;39;41;5
杨钦;广西;29;36;0;0;0;1;40;41;38;39;5
解立彬;香港;30;36;0;0;2;1;38;38;38;39;5
西热力江;0;0;33;0;0;2;2;37;44;43;35;5
刘鹏;0;0;0;0;0;-1;-1;41;40;38;41;5
朱世龙;0;0;48;0;0;-1;-1;38;40;38;39;5
高俊超;0;0;31;0;0;1;1;41;40;41;39;5
丁伟;0;0;56;0;0;1;0;36;46;42;35;5
邓宇;0;0;43;0;0;0;1;38;40;39;40;5
乔里欧-格里乔里;0;0;52;0;0;1;-1;40;38;41;40;5
杨学增;0;0;65;0;0;-1;1;34;43;43;38;5
刘志轩;0;0;33;0;0;1;1;40;39;40;41;5
布拉尼斯拉夫-维琴蒂奇;0;0;52;0;0;2;2;38;44;42;36;5
于梁;0;0;37;0;0;0;1;45;36;41;41;5
史利平;0;0;61;0;0;1;2;38;41;41;38;5
郑武;0;0;56;0;0;2;1;43;36;41;42;5
张勇;0;0;36;0;0;1;0;45;34;41;43;5
阿的江;0;0;56;0;0;1;0;44;37;42;40;5
郑永刚;0;0;54;0;0;0;1;41;40;39;40;5
郭士强;0;0;48;0;0;2;2;37;38;37;45;5
刘铁;0;0;53;0;0;2;1;39;39;40;40;5
乌戈-洛佩斯;0;0;48;0;0;0;0;38;40;40;38;5
张德贵;0;0;67;0;0;0;1;40;41;39;39;5
