No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;allStars;allStarsMvps;allTeam1;allTeam2;allTeam3;best3ptsers;bestBlockers;bestPassers;bestRebounders;bestRookie;bestScorers;bestStealers;defTeam1;defTeam2;defTeam3;dpoy;fmvps;mvps;rings;sixmans
1;保罗-皮尔斯;Paul Pierce;3;4;9;75;84;87;91;88;70;76;80;86;86;91;90;82;88;28;7;凯尔特人;1;2;16354071;0;199810;138;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;沃利-斯泽比亚克;Wally Szczerbiak;3;2;8;70;78;84;84;78;67;70;71;79;77;82;82;73;78;28;6;凯尔特人;1;2;12371259;0;199906;1474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;德隆蒂-韦斯特;Delonte West;1;2;7;68;72;81;74;82;62;65;77;72;73;67;74;75;74;22;1;凯尔特人;1;2;12212324;0;200424;2200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;肯德里克-帕金斯;Kendrick Perkins;5;0;7;62;79;50;63;82;81;79;60;70;57;62;64;81;73;21;2;凯尔特人;1;3;16773993;0;200327;640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;托尼-阿伦;Tony Allen;2;3;8;65;72;64;65;84;73;70;72;83;71;65;67;77;72;23;1;凯尔特人;1;2;12703094;0;200425;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;艾尔-杰弗森;Al Jefferson;5;0;8;61;80;50;74;78;72;80;53;78;55;61;67;75;71;20;1;凯尔特人;1;2;12996018;0;200415;237;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;里夫-拉弗伦茨;Raef LaFrentz;4;5;7;55;68;80;77;76;69;74;56;64;73;70;69;70;70;29;7;凯尔特人;1;1;5333710;0;199803;1175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;杰拉德-格林;Gerald Green;2;3;7;62;70;73;67;85;64;65;69;67;70;63;66;72;69;19;0;凯尔特人;1;2;10230029;0;200518;994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;丹-迪考;Dan Dickau;1;2;6;78;66;77;74;73;55;60;64;63;67;63;73;62;68;27;3;凯尔特人;1;1;6533258;0;200228;1774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;布莱恩-斯卡拉布莱恩;Brian Scalabrine;4;5;6;62;67;75;71;72;68;67;55;65;68;69;68;66;67;27;4;凯尔特人;1;1;6257717;0;200135;1459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;奥瑞恩-格林;Orien Greene;2;1;5;61;68;70;65;81;62;64;66;64;64;63;63;69;65;26;0;凯尔特人;1;1;4600634;0;200553;1815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;莱恩-戈麦斯;Ryan Gomes;3;0;7;60;84;61;83;77;50;70;48;68;63;67;69;59;65;23;0;凯尔特人;1;1;7692979;0;200550;985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;德维恩-琼斯;Dwayne Jones;5;0;5;59;75;50;63;75;68;69;51;67;58;60;61;67;64;22;0;凯尔特人;1;1;7868219;0;200500;5001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;杰森-基德;Jason Kidd;1;2;10;92;78;82;79;88;72;78;89;80;81;77;88;89;89;32;11;篮网;2;4;19806928;0;199402;38;0;7;0;5;1;0;0;0;5;0;1;0;0;3;4;0;0;0;0;0;0
15;文斯-卡特;Vince Carter;2;3;10;73;87;87;88;90;71;74;76;89;85;87;88;82;85;28;7;篮网;2;3;14195237;0;199805;40;0;6;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
16;理查德-杰弗森;Richard Jefferson;3;2;8;71;81;78;84;86;70;77;73;82;74;84;82;80;82;25;4;篮网;2;2;11817481;0;200113;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;内纳德-科斯蒂奇;Nenad Krstić;5;4;7;66;79;60;83;82;72;76;57;77;58;79;74;75;75;22;3;篮网;2;2;12065514;0;200224;547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
