No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;rings;mvps;fmvps;allTeam1;allTeam2;allTeam3
1;萨姆-豪瑟;Sam Hauser;3;4;6;60;67;66;69;71;60;58;61;63;67;59;63;60;62;23;0;凯尔特人;1;1;462000;0;202100;1040;0;0;0;0;0;0;0
2;罗伯特-威廉姆斯;Robert Williams;4;5;8;60;84;68;75;88;86;85;65;76;68;68;73;87;81;24;3;凯尔特人;1;1;1000000;0;201827;314;0;0;0;0;0;0;0
3;佩顿-普理查德;Payton Pritchard;1;0;8;78;77;78;79;73;55;71;60;70;80;70;80;64;73;23;1;凯尔特人;1;3;3200000;0;202026;1400;0;0;0;0;0;0;0
4;尼克-施陶斯卡斯;Nik Stauskas;2;3;6;62;72;71;75;73;51;61;57;64;72;64;67;58;63;27;7;凯尔特人;1;1;110000;0;201408;669;0;0;0;0;0;0;0
5;马特-里安;Matt Ryan;3;4;6;68;69;71;71;65;68;73;72;62;71;63;68;70;70;24;1;凯尔特人;1;1;53176;0;202000;1211;0;0;0;0;0;0;0
6;马库斯-斯玛特;Marcus Smart;1;2;8;76;80;76;79;88;78;75;92;75;78;70;79;91;84;27;7;凯尔特人;1;1;12950000;0;201406;300;0;0;0;0;0;0;0
7;马利克-菲茨;Malik Fitts;4;0;6;60;72;78;72;77;68;70;58;65;76;64;70;69;70;24;1;凯尔特人;1;1;462000;0;202000;961;0;0;0;0;0;0;0
8;卢克-科内特;Luke Kornet;4;5;7;57;68;74;80;76;72;74;57;66;72;70;69;72;71;26;4;凯尔特人;1;1;70000;0;201700;546;0;0;0;0;0;0;0
9;杰森-塔图姆;Jayson Tatum;3;2;10;78;93;90;85;92;65;78;78;88;87;82;91;82;88;23;4;凯尔特人;1;5;28100000;0;201703;146;0;0;0;0;0;0;3
10;杰伦-布朗;Jaylen Brown;2;3;9;75;89;90;92;89;72;72;75;82;89;85;91;81;86;25;5;凯尔特人;1;3;22740000;0;201603;96;0;0;0;0;0;0;0
11;格兰特-威廉姆斯;Grant Williams;4;3;7;61;77;75;79;78;80;73;60;69;73;71;73;76;74;23;2;凯尔特人;1;3;4000000;0;201922;1523;0;0;0;0;0;0;0
12;德里克-怀特;Derrick White;1;2;7;82;83;84;82;76;50;60;68;70;85;75;86;64;76;27;4;凯尔特人;1;3;3520000;0;201729;507;0;0;0;0;0;0;0
13;丹尼尔-泰斯;Daniel Theis;4;5;7;57;82;69;81;74;67;76;56;69;68;73;72;69;71;29;7;凯尔特人;1;4;9000000;0;201300;691;0;0;0;0;0;0;0
14;艾尔-霍福德;Al Horford;5;4;9;76;81;86;84;79;73;83;70;76;81;83;86;80;83;35;14;凯尔特人;1;2;27500000;0;200703;110;0;0;0;0;0;0;1
15;阿隆-内史密斯;Aaron Nesmith;2;3;7;51;79;84;78;79;70;67;70;69;83;65;72;73;72;21;1;凯尔特人;1;3;3900000;0;202014;1353;0;0;0;0;0;0;0
16;塞斯-库里;Seth Curry;2;1;7;74;85;92;90;79;45;68;70;71;90;82;88;66;78;31;8;篮网;2;2;7810000;0;201300;558;0;0;0;0;0;0;0
17;帕蒂-米尔斯;Patty Mills;1;0;7;72;78;80;88;80;45;60;60;69;81;77;81;61;72;33;12;篮网;2;2;6000000;0;200955;619;0;1;0;0;0;0;0
18;尼古拉斯-克拉克斯顿;Nicolas Claxton;4;5;7;60;78;62;70;80;79;81;73;69;63;63;67;82;75;22;2;篮网;2;2;1500000;0;201931;1145;0;0;0;0;0;0;0
19;拉马库斯-阿尔德里奇;LaMarcus Aldridge;5;4;9;62;80;74;80;75;64;75;65;74;71;75;76;71;73;36;15;篮网;2;1;2640000;0;200602;83;0;0;0;0;0;0;0
20;凯里-欧文;Kyrie Irving;1;2;9;88;89;90;91;86;60;69;72;81;90;86;96;75;86;29;10;篮网;2;2;33330000;0;201101;136;0;1;0;0;0;1;2
21;凯文-杜兰特;Kevin Durant;3;4;11;75;93;93;97;83;77;86;76;90;89;95;96;85;92;33;14;篮网;2;4;49500000;0;200702;29;0;2;1;2;6;3;0
22;凯斯勒-爱德华兹;Kessler Edwards;3;4;6;60;74;76;75;71;61;63;67;64;75;65;70;64;68;20;0;篮网;2;3;1800000;0;202144;788;0;0;0;0;0;0;0
23;乔-哈里斯;Joe Harris;2;3;7;66;78;84;79;79;45;66;69;69;83;69;77;65;72;30;7;篮网;2;3;16070000;0;201433;486;0;0;0;0;0;0;0
24;戈兰-德拉季奇;Goran Dragic;1;2;9;79;76;75;78;78;49;69;71;74;77;70;79;69;75;35;13;篮网;2;1;19220000;0;200845;205;0;0;0;0;0;0;0
25;戴罗恩-夏普;Day'Ron Sharpe;4;5;6;59;77;50;59;79;73;81;51;66;53;53;58;74;67;19;0;篮网;2;4;2750000;0;202129;1577;0;0;0;0;0;0;0
26;大卫-杜克;David Duke Jr.;1;2;6;62;61;70;61;66;60;60;70;61;73;50;61;64;62;22;0;篮网;2;1;925000;0;202100;947;0;0;0;0;0;0;0
27;卡梅隆-托马斯;Cam Thomas;2;0;7;66;81;73;88;79;58;59;60;70;74;78;76;63;70;19;0;篮网;2;4;3250000;0;202127;1504;0;0;0;0;0;0;0
28;布鲁斯-布朗;Bruce Brown;2;3;7;71;78;76;78;76;56;76;69;68;77;70;75;70;73;25;3;篮网;2;1;4700000;0;201842;1739;0;0;0;0;0;0;0
29;布雷克-格里芬;Blake Griffin;4;5;9;74;83;73;79;75;68;77;66;75;72;76;79;73;76;32;12;篮网;2;1;1220000;0;200901;103;0;0;0;0;0;2;3
30;本-西蒙斯;Ben Simmons;1;4;9;87;88;50;55;90;83;84;90;82;55;70;72;94;82;25;5;篮网;2;4;30560000;0;201601;156;0;0;0;0;0;0;1
31;安德烈-德拉蒙德;Andre Drummond;5;4;9;53;77;51;76;78;70;81;56;74;53;68;64;75;70;28;9;篮网;2;1;1500000;0;201209;206;0;0;0;0;0;0;1
32;罗卡斯-约库贝蒂斯;Rokas Jokubaitis;1;2;6;72;70;70;72;65;50;45;55;62;73;62;70;49;61;20;0;尼克斯;3;3;2300000;0;202134;5001;0;0;0;0;0;0;0
