name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
乔-马祖拉;凯尔特人;1;34;3;3620000;1;1;37;42;43;38;5
雅克-沃恩;篮网;2;47;2;4000000;2;1;39;39;39;38;5
汤姆-锡伯杜;尼克斯;3;65;4;3000000;1;0;40;35;38;45;5
道格-里弗斯;76人;4;61;5;5000000;1;1;38;38;41;39;5
尼克-纳斯;猛龙;5;55;4;3500000;1;1;39;38;37;44;5
比利-多诺万;公牛;6;57;4;5000000;1;1;41;39;41;41;5
JB-比克斯塔夫;骑士;7;43;4;3000000;1;1;44;37;36;44;5
德维恩-凯西;活塞;8;65;2;2000000;1;1;39;40;41;38;5
里克-卡莱尔;步行者;9;63;3;3000000;2;1;37;44;44;37;5
迈克-布登霍尔泽;雄鹿;10;53;3;3500000;2;1;35;44;43;37;5
奎因-斯奈德;老鹰;11;56;5;3000000;0;1;38;42;42;36;10
斯蒂夫-克里福德;黄蜂;12;61;3;2200000;0;1;39;38;37;44;5
埃里克-斯波尔斯特拉;热火;13;52;3;3000000;2;1;38;36;38;45;5
贾马尔-莫斯利;魔术;14;44;2;3500000;0;1;39;38;39;45;5
小韦斯-昂塞尔德;奇才;15;47;3;4000000;1;0;42;36;38;43;5
贾森-基德;独行侠;16;49;2;4000000;1;1;37;45;41;38;5
斯蒂芬-塞拉斯;火箭;17;49;4;4000000;1;0;38;40;39;38;5
泰勒-詹金斯;灰熊;18;38;4;3000000;1;2;35;43;44;38;5
威利-格林;鹈鹕;19;41;2;4000000;1;1;42;34;41;41;5
格雷格-波波维奇;马刺;20;74;1;6000000;2;2;45;37;42;40;5
迈克-马龙;掘金;21;51;3;2000000;1;1;41;40;38;41;5
克里斯-芬奇;森林狼;22;53;3;4000000;1;1;44;37;40;43;5
昌西-比卢普斯;开拓者;23;46;2;3000000;0;1;43;35;36;42;5
马克-戴格诺特;雷霆;24;37;2;3000000;0;2;39;40;41;38;5
威尔-哈迪;爵士;25;35;5;2000000;1;1;35;45;44;36;5
斯蒂夫-科尔;勇士;26;57;3;5000000;2;2;37;41;42;38;5
泰伦-卢;快船;27;45;5;5000000;0;2;38;43;42;36;5
达尔文-哈姆;湖人;28;49;4;3000000;0;1;39;38;36;43;5
蒙蒂-威廉姆斯;太阳;29;51;4;1500000;2;1;36;44;43;36;5
迈克-布朗;国王;30;52;3;2000000;0;2;39;38;39;45;5
内特-麦克米兰;0;0;58;0;0;1;0;45;37;36;43;5
斯蒂夫-纳什;0;0;48;0;0;0;0;37;42;43;38;10
艾米-乌度卡;0;0;45;0;0;2;0;45;35;38;42;10
戴夫-乔格尔;0;0;48;0;0;1;1;39;37;37;44;10
斯科特-斯凯尔斯;0;0;58;0;0;1;1;38;37;38;43;10
斯蒂夫-克里福德;0;0;61;0;0;0;1;39;38;37;44;10
吉姆-博伊兰;0;0;57;0;0;0;0;38;40;40;40;10
弗雷德-霍伊博格;0;0;50;0;0;1;1;39;40;40;40;10
凯文-麦克海尔;0;0;65;0;0;0;0;45;36;42;41;10
迈克-德安东尼;0;0;71;0;0;1;1;34;46;45;35;10
大卫-布拉特;0;0;63;0;0;1;0;40;39;41;39;10
拜伦-斯科特;0;0;61;0;0;0;0;42;36;36;42;10
莱恩-桑德斯;0;0;36;0;0;0;0;35;44;42;36;10
特里-斯托茨;0;0;65;0;0;1;1;36;42;42;37;10
兰迪-惠特曼;0;0;63;0;0;1;1;38;40;40;38;10
斯科特-布鲁克斯;0;0;57;0;0;1;1;38;41;39;38;10
布雷特-布朗;0;0;61;0;0;0;1;35;45;43;36;10
厄尔-沃特森;0;0;43;0;0;0;1;41;41;38;39;10
莱昂内尔-霍林斯;0;0;69;0;0;1;1;37;38;39;43;10
杰夫-霍纳塞克;0;0;59;0;0;0;0;39;38;39;39;10
卢克-沃顿;0;0;42;0;0;0;0;35;42;43;39;10
斯坦-范甘迪;0;0;63;0;0;1;0;40;38;39;45;10
德里克-费舍尔;0;0;48;0;0;-2;-2;39;39;39;41;10
劳埃德-皮尔斯;0;0;46;0;0;1;0;38;42;44;37;10
肯尼-阿特金森;0;0;55;0;0;0;1;38;44;41;37;10
布拉德-史蒂文斯;0;0;46;0;0;2;1;35;44;44;36;10
埃托雷-梅西纳;0;0;63;0;0;1;1;39;36;38;46;10
大卫-费兹戴尔;0;0;48;0;0;0;0;39;39;41;40;10
布莱恩-肖;0;0;56;0;0;0;0;38;38;39;41;10
乔治-卡尔;0;0;71;0;0;1;1;35;46;43;38;10
詹姆斯-伯雷格;0;0;45;0;0;0;1;39;39;38;38;10
阿尔文-金特里;0;0;68;0;0;0;2;35;44;42;36;10
弗兰克-沃格尔;0;0;68;0;0;1;1;37;35;36;44;10
