name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
道格-里弗斯;凯尔特人;1;44;0;0;1;1;38;38;41;39;5
劳伦斯-弗兰克;篮网;2;47;0;0;1;1;39;38;38;41;5
拉里-布朗;尼克斯;3;65;0;0;1;1;39;38;37;44;5
莫里斯-奇克斯;76人;4;49;0;0;1;1;42;35;37;42;5
萨姆-米切尔;猛龙;5;42;0;0;1;1;39;40;41;41;5
斯科特-斯凯尔斯;公牛;6;41;0;0;1;1;38;37;38;43;5
迈克-布朗;骑士;7;35;0;0;1;1;39;38;39;45;5
菲利普-桑德斯;活塞;8;50;0;0;2;1;41;40;41;41;5
里克-卡莱尔;步行者;9;46;0;0;2;1;37;44;44;37;5
特里-斯托茨;雄鹿;10;48;0;0;1;1;36;42;42;37;5
迈克-伍德森;老鹰;11;47;0;0;1;1;39;38;38;45;5
伯尼-比克斯塔夫;山猫;12;61;0;0;0;1;45;35;36;43;5
帕特-莱利;热火;13;60;0;0;2;2;38;35;36;43;5
布莱恩-希尔;魔术;14;58;0;0;1;1;40;41;39;39;5
艾迪-乔丹;奇才;15;51;0;0;1;1;37;42;42;38;5
艾弗里-约翰逊;小牛;16;40;0;0;2;1;44;34;36;45;5
杰夫-范甘迪;火箭;17;44;0;0;2;1;40;35;36;44;5
迈克-弗拉特洛;灰熊;18;50;0;0;1;1;39;38;39;45;5
迈克-斯科特;黄蜂;19;44;0;0;1;1;39;39;39;41;5
格雷格-波波维奇;马刺;20;57;0;0;2;2;45;37;42;40;5
乔治-卡尔;掘金;21;54;0;0;2;0;35;46;43;38;5
德维恩-凯西;森林狼;22;48;0;0;1;1;39;40;41;38;5
内特-麦克米兰;开拓者;23;41;0;0;0;0;45;37;36;43;5
鲍勃-希尔;超音速;24;57;0;0;1;1;41;41;41;38;5
杰里-斯隆;爵士;25;63;0;0;2;2;42;35;42;40;5
迈克-蒙哥马利;勇士;26;58;0;0;1;1;41;40;40;41;5
老迈克-邓利维;快船;27;51;0;0;1;2;39;40;40;39;5
菲尔-杰克逊;湖人;28;60;0;0;2;2;37;38;43;39;5
道格-里弗斯;太阳;29;54;0;0;1;1;38;38;41;39;5
里德-阿德尔曼;国王;30;59;0;0;1;1;37;42;44;38;5
斯坦-范甘迪;0;0;46;0;0;1;1;40;38;39;45;5
鲍勃-魏斯;0;0;63;0;0;1;1;41;40;40;40;5
