name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
乔-马祖拉;凯尔特人;1;35;3;3620000;2;1;37;42;43;38;5
约迪-费尔南德斯;篮网;2;39;2;3100000;1;0;40;36;38;43;5
汤姆-锡伯杜;尼克斯;3;66;4;3000000;1;1;40;35;38;45;5
尼克-纳斯;76人;4;56;4;3500000;1;1;39;38;37;44;5
达尔科-拉亚科维奇;猛龙;5;45;4;3200000;1;0;39;38;38;38;5
比利-多诺万;公牛;6;58;4;5000000;0;0;41;39;41;41;5
肯尼-阿特金森;骑士;7;56;5;4500000;2;1;38;44;41;37;5
JB-比克斯塔夫;活塞;8;44;5;3000000;1;1;44;37;36;44;5
里克-卡莱尔;步行者;9;64;3;3000000;1;2;37;44;44;37;5
道格-里弗斯;雄鹿;10;62;3;2430000;0;0;38;38;41;39;5
奎因-斯奈德;老鹰;11;57;5;3000000;1;0;38;42;42;36;5
斯蒂夫-克里福德;黄蜂;12;62;3;2200000;-1;1;39;38;37;44;5
埃里克-斯波尔斯特拉;热火;13;53;3;3000000;2;2;38;36;38;45;5
贾马尔-莫斯利;魔术;14;45;2;3500000;1;1;39;38;39;45;5
布莱恩-基夫;奇才;15;41;3;4000000;0;0;41;38;39;39;5
贾森-基德;独行侠;16;50;2;4000000;1;1;37;45;41;38;5
艾米-乌度卡;火箭;17;46;4;3300000;1;2;45;35;38;42;5
泰勒-詹金斯;灰熊;18;39;4;3000000;1;2;35;43;44;38;5
威利-格林;鹈鹕;19;42;2;4000000;0;0;42;34;41;41;5
米奇-约翰逊;马刺;20;44;5;16000000;0;1;41;38;38;38;5
迈克-马龙;掘金;21;52;3;2000000;2;1;41;40;38;41;5
克里斯-芬奇;森林狼;22;54;7;4000000;1;0;44;37;40;43;5
昌西-比卢普斯;开拓者;23;47;2;3000000;0;1;43;35;36;42;5
马克-戴格诺特;雷霆;24;38;2;3000000;1;2;39;40;41;38;5
威尔-哈迪;爵士;25;36;5;2000000;0;1;35;45;44;36;5
斯蒂夫-科尔;勇士;26;58;3;5000000;1;2;37;41;42;38;5
泰伦-卢;快船;27;46;5;5000000;1;0;38;43;42;36;5
JJ-雷迪克;湖人;28;40;4;3000000;1;1;38;43;44;36;5
迈克-布登霍尔泽;太阳;29;54;3;3500000;1;1;35;44;43;37;5
道格-克里斯蒂;国王;30;54;1;2000000;1;0;38;41;39;41;5
弗兰克-沃格尔;0;0;69;0;0;0;1;37;35;36;44;5
迈克-布朗;0;0;53;0;0;2;1;39;38;39;45;5
雅克-沃恩;0;0;48;0;0;0;-1;39;39;39;38;5
蒙蒂-威廉姆斯;0;0;52;0;0;0;1;36;44;43;36;5
阿德里安-格里芬;0;0;49;0;0;1;1;38;38;39;40;5
小韦斯-昂塞尔德;0;0;48;0;0;1;0;42;36;38;43;5
达尔文-哈姆;0;0;50;0;0;0;1;39;38;36;43;5
德维恩-凯西;0;0;66;0;0;1;1;39;40;41;38;5
斯蒂芬-塞拉斯;0;0;50;0;0;1;0;38;40;39;38;5
内特-麦克米兰;0;0;59;0;0;1;0;45;37;36;43;5
斯蒂夫-纳什;0;0;49;0;0;0;0;37;42;43;38;5
戴夫-乔格尔;0;0;49;0;0;1;1;39;37;37;44;5
斯科特-斯凯尔斯;0;0;59;0;0;1;1;38;37;38;43;5
斯蒂夫-克里福德;0;0;62;0;0;0;1;39;38;37;44;5
吉姆-博伊兰;0;0;58;0;0;0;0;38;40;40;40;5
弗雷德-霍伊博格;0;0;51;0;0;1;1;39;40;40;40;5
凯文-麦克海尔;0;0;66;0;0;0;0;45;36;42;41;5
迈克-德安东尼;0;0;72;0;0;1;1;34;46;45;35;5
大卫-布拉特;0;0;64;0;0;1;0;40;39;41;39;5
拜伦-斯科特;0;0;62;0;0;0;0;42;36;36;42;5
莱恩-桑德斯;0;0;37;0;0;0;0;35;44;42;36;5
特里-斯托茨;0;0;66;0;0;1;1;36;42;42;37;5
兰迪-惠特曼;0;0;64;0;0;1;1;38;40;40;38;5
斯科特-布鲁克斯;0;0;58;0;0;1;1;38;41;39;38;5
布雷特-布朗;0;0;62;0;0;0;1;35;45;43;36;5
厄尔-沃特森;0;0;44;0;0;0;1;41;41;38;39;5
莱昂内尔-霍林斯;0;0;70;0;0;1;1;37;38;39;43;5
杰夫-霍纳塞克;0;0;60;0;0;0;0;39;38;39;39;5
卢克-沃顿;0;0;43;0;0;0;0;35;42;43;39;5
斯坦-范甘迪;0;0;64;0;0;1;0;40;38;39;45;5
劳埃德-皮尔斯;0;0;47;0;0;1;0;38;42;44;37;5
布拉德-史蒂文斯;0;0;47;0;0;2;1;35;44;44;36;5
埃托雷-梅西纳;0;0;64;0;0;1;1;39;36;38;46;5
大卫-费兹戴尔;0;0;49;0;0;0;0;39;39;41;40;5
布莱恩-肖;0;0;57;0;0;0;0;38;38;39;41;5
乔治-卡尔;0;0;72;0;0;1;1;35;46;43;38;5
詹姆斯-伯雷格;0;0;46;0;0;0;1;39;39;38;38;5
阿尔文-金特里;0;0;69;0;0;0;2;35;44;42;36;5
米奇-约翰逊;0;0;38;0;0;2;2;41;38;38;38;5
