No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;rings;mvps;fmvps;allTeam1;allTeam2;allTeam3
1;克利福德-贝奇;Clifford Becky;2;2;6;60;58;48;69;64;58;69;53;60;53;57;53;58;55;18;0;凯尔特人;1;4;2471787;0;0;0;0;0;0;0;0;0;0
2;瑞德-波拉德;Red Pollard;4;3;6;45;47;66;56;67;63;47;46;58;66;45;49;53;51;20;2;凯尔特人;1;3;2186872;0;0;0;0;0;0;0;0;0;0
3;奥兰多-凯塞尔;Orlando Kessel;2;5;6;66;48;46;63;65;68;51;62;58;51;52;50;59;54;21;3;凯尔特人;1;4;2009029;0;0;0;0;0;0;0;0;0;0
4;泰伦斯-莱德;Terrence Ryder;2;5;6;45;54;57;48;56;55;63;65;58;60;37;44;57;50;21;3;凯尔特人;1;3;5127786;0;0;0;0;0;0;0;0;0;0
5;贝内特-莫里斯;Bennett Morris;5;2;6;47;62;55;64;57;60;46;58;59;56;55;53;50;51;27;9;凯尔特人;1;3;4572450;0;0;0;0;0;0;0;0;0;0
6;卡尔文-诺维奇;Calvin Norwich;4;4;6;49;58;62;68;53;59;55;60;58;63;57;55;52;53;22;4;凯尔特人;1;4;1482551;0;0;0;0;0;0;0;0;0;0
7;德马雷-巴里克;De Mare Barrick;2;3;6;55;49;67;67;46;52;51;66;56;69;54;55;49;53;21;1;凯尔特人;1;3;1446110;0;0;0;0;0;0;0;0;0;0
8;泰特-米歇尔;Tate Michel;4;3;6;60;68;64;66;64;65;47;67;62;64;58;62;57;60;23;5;凯尔特人;1;3;1340871;0;0;0;0;0;0;0;0;0;0
9;乔伊-克莱姆森;Joey Clemson;3;3;6;66;64;49;51;53;50;65;59;59;53;45;51;52;53;24;6;凯尔特人;1;4;2456338;0;0;0;0;0;0;0;0;0;0
10;厄尔-多切斯特;Earl Dorchester;5;5;6;51;46;54;45;56;58;54;60;57;55;38;43;52;48;21;3;凯尔特人;1;4;3253073;0;0;0;0;0;0;0;0;0;0
