No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image
1;昆汀-皮特森;QUENTIN PETERSON;2;0;8;78;75;93;81;85;70;77;79;78;97;83;88;82;85;29;2;吉林;1;1;0;0;202200;5001
2;尼古拉斯-拉科塞维奇;NICHOLAS RAKOCEVIC;5;0;8;70;81;67;69;86;77;81;75;83;69;74;77;84;81;26;4;吉林;1;1;0;0;202000;5001
3;姜伟泽;Jiang Weize;1;0;8;84;70;87;73;80;66;68;74;68;88;72;83;74;79;24;6;吉林;1;4;0;0;201800;526
4;姜宇星;Jiang Yuxing;3;0;9;74;86;72;68;72;73;73;79;89;68;70;77;76;78;29;6;吉林;1;2;0;0;201801;527
5;吴昌泽;Wu Changze;4;0;6;68;75;67;63;82;74;78;68;72;65;66;69;79;74;24;4;吉林;1;4;0;0;202000;5001
6;张斌;ZhangBin;5;0;6;71;72;69;69;68;79;78;57;73;68;67;72;74;73;30;2;吉林;1;1;0;0;202213;5001
7;崔晋铭;Cui Jinming;2;0;8;74;65;78;62;83;66;67;70;68;74;67;71;73;72;31;11;吉林;1;1;0;0;201300;5001
8;钟诚;Zhong Cheng;5;0;8;70;66;65;63;84;71;68;75;66;67;64;66;76;72;35;16;吉林;1;1;0;0;200800;5001
9;李安;Li An;5;0;6;67;66;83;72;72;73;70;66;64;75;66;71;71;71;33;14;吉林;1;1;0;0;201000;5001
10;代怀博;Dai HuaiBo;4;0;6;65;74;73;69;71;69;66;66;66;64;66;69;68;68;30;11;吉林;1;2;0;0;201300;5001
11;丁皓然;Ding Haoran;3;0;6;66;70;78;61;65;67;66;65;68;73;68;68;64;67;27;8;吉林;1;2;0;0;201600;5001
12;刘天意;Liu Tianyi;2;0;7;68;66;77;65;63;67;66;68;68;73;66;69;65;67;29;11;吉林;1;1;0;0;201300;5001
13;赵晏满;Zhao Yanman;4;0;7;66;58;47;64;76;70;70;65;67;59;69;58;71;65;24;6;吉林;1;2;0;0;201814;5001
14;付博文;Fu Bowen;2;0;6;67;62;74;70;58;66;62;64;65;61;65;65;60;63;24;6;吉林;1;1;0;0;201800;5001
15;彭森傲;Peng SenAo;5;0;6;57;77;52;52;67;69;73;53;70;56;57;60;67;63;21;3;吉林;1;3;0;0;202100;5001
16;王梓旭;Wang Zixu;3;0;6;65;68;56;55;62;66;64;62;66;58;63;59;61;61;25;7;吉林;1;2;0;0;201724;5001
17;蔡林翰;Cai Linhan;2;0;6;65;60;55;71;59;67;62;61;63;62;64;60;59;60;19;0;吉林;1;2;0;0;202400;5001
18;孔德高;Kong Degao;2;0;6;65;61;53;69;59;67;64;64;63;60;66;59;61;60;22;5;吉林;1;1;0;0;201900;5001
19;埃里克-莫兰德;ERIC MORELAND;5;0;8;73;83;65;72;93;86;89;75;82;62;71;77;94;86;32;5;辽宁;2;1;0;0;201900;1327
20;郭艾伦;Guo Ailun;2;0;10;84;92;85;80;85;64;69;83;91;80;67;88;79;84;30;14;辽宁;2;1;0;0;201000;225
21;赵继伟;Zhao Jiwei;1;0;11;89;73;86;73;84;67;70;86;69;91;72;86;82;84;28;11;辽宁;2;2;0;0;201300;2589
22;张镇麟;Kevin Zhang;3;0;10;76;81;79;77;86;73;72;82;78;81;80;81;82;83;25;4;辽宁;2;3;0;0;202000;744
23;凯尔-弗格;KYLE FOGG;2;0;9;75;71;84;78;88;71;70;81;70;85;78;80;82;81;34;7;辽宁;2;1;0;0;201700;5001
