No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;rings;mvps;fmvps;allTeam1;allTeam2;allTeam3
1;迪诺-拉迪亚;Dino Radja;4;0;8;74;91;61;76;80;86;89;70;73;62;74;77;87;82;29;7;凯尔特人;1;3;8850000;0;198940;564;0;0;0;0;0;0;0
2;里克-福克斯;Rick Fox;3;0;8;80;78;86;82;80;70;71;70;69;84;78;84;74;80;27;5;凯尔特人;1;3;5500000;0;199124;469;0;0;0;0;0;0;0
3;达纳-巴罗斯;Dana Barros;1;2;7;82;76;80;84;80;70;65;70;69;81;76;83;73;79;29;7;凯尔特人;1;3;11230000;0;198916;370;0;0;0;0;0;0;0
4;大卫-韦斯利;David Wesley;1;0;8;81;74;77;76;93;70;65;70;71;79;68;79;77;78;25;4;凯尔特人;1;2;1420000;0;199000;715;0;0;0;0;0;0;0
5;迪-布朗;DeCovan Kadell Brown;2;1;7;78;78;84;65;88;70;65;70;71;83;60;77;76;77;27;6;凯尔特人;1;4;10480000;0;199016;410;0;0;0;0;0;0;0
6;谢尔曼-道格拉斯;Sherman Douglas;1;0;6;88;70;66;98;50;70;65;81;59;69;89;83;67;76;30;7;凯尔特人;1;2;10530000;0;198928;433;0;0;0;0;0;0;0
7;埃里克-蒙特罗斯;Eric Montross;5;0;6;55;80;55;65;68;75;81;70;62;56;59;62;76;69;25;2;凯尔特人;1;3;2560000;0;199514;1308;0;0;0;0;0;0;0
8;格雷格-迈纳;Greg Minor;2;3;6;80;64;62;86;50;70;65;73;56;65;77;71;63;67;25;2;凯尔特人;1;1;1210000;0;199425;1276;0;0;0;0;0;0;0
9;埃里克-威廉姆斯;Eric Williams;3;4;6;65;67;70;78;52;70;65;70;58;70;69;68;62;66;24;0;凯尔特人;1;3;1704000;0;199514;1520;0;0;0;0;0;0;0
10;道格-史密斯;Doug Smith;3;0;5;60;70;55;76;60;70;65;70;57;58;66;61;65;64;27;5;凯尔特人;1;2;1460000;0;199106;2127;0;0;0;0;0;0;0
11;查尔斯-克拉克斯顿;Charles Claxton;5;0;5;55;70;55;65;60;70;72;70;56;56;58;58;67;63;25;2;凯尔特人;1;3;1240000;0;199450;1927;0;0;0;0;0;0;0
12;佩维斯-埃里森;Pervis Ellison;4;5;5;55;61;55;65;53;70;87;70;56;57;56;55;69;62;29;7;凯尔特人;1;4;3760000;0;198901;1651;0;0;0;0;0;0;0
13;朱尼奥-伯勒;Junior Burrough;4;0;5;56;70;55;65;50;70;73;70;56;57;57;57;63;60;23;1;凯尔特人;1;1;1080000;0;199533;1725;0;0;0;0;0;0;0
14;德里克-科尔曼;Derrick Coleman;4;5;8;66;84;63;78;95;71;89;70;78;63;73;74;87;81;29;6;篮网;2;4;20450000;0;199000;543;0;0;0;0;0;0;0
15;肯尼-安德森;Kenny Anderson;1;0;8;91;75;79;74;84;70;65;79;70;80;69;84;78;81;26;5;篮网;2;3;13692000;0;199102;350;0;0;0;0;0;0;0
16;凯文-爱德华兹;Kevin Edwards;2;1;7;78;80;74;99;68;70;65;75;62;75;91;83;70;77;31;8;篮网;2;3;6080000;0;198820;789;0;0;0;0;0;0;0
17;克里斯-柴尔斯;Chris Childs;1;0;7;81;71;72;80;89;70;65;70;64;74;71;77;76;76;28;7;篮网;2;1;1160000;0;199000;908;0;0;0;0;0;0;0
18;维恩-弗莱明;Vern Fleming;1;0;7;78;78;72;65;70;70;65;91;60;74;58;72;79;75;34;12;篮网;2;1;1470000;0;198412;2546;0;0;0;0;0;0;0
19;阿尔蒙-吉列姆;Armen Gilliam;4;3;7;56;91;65;74;70;70;89;70;73;65;67;72;77;74;32;9;篮网;2;3;6140000;0;198702;524;0;0;0;0;0;0;0
20;PJ-布朗;P.J. Brown;4;0;7;55;73;55;70;86;70;87;70;70;57;61;61;82;72;27;4;篮网;2;2;1920000;0;199229;879;0;0;0;0;0;0;0
21;贾森-威廉姆斯;Jayson Williams;5;4;7;58;80;55;65;70;70;90;70;67;56;60;64;78;71;28;6;篮网;2;2;6380000;0;199021;1524;0;0;0;0;0;0;0
22;雷克斯-沃特斯;Rex Walters;2;1;7;72;74;75;72;70;70;65;70;59;76;64;71;69;70;24;3;篮网;2;3;2250000;0;199316;1563;0;0;0;0;0;0;0
23;肖恩-希金斯;Sean Higgins;3;0;6;68;62;55;94;60;70;65;70;57;58;83;68;65;68;27;6;篮网;2;2;1210000;0;199302;1572;0;0;0;0;0;0;0
24;EdO-班农;Ed O'Bannon;3;0;6;74;66;55;78;50;70;65;79;57;58;71;66;64;66;24;0;篮网;2;3;2752000;0;199509;837;0;0;0;0;0;0;0
25;里克-马洪;Rick Mahorn;4;5;6;58;80;55;78;50;70;81;70;59;57;70;65;66;65;38;16;篮网;2;1;1080000;0;198035;1256;0;1;0;0;0;0;0
26;杰拉德-格拉斯;Gerald Glass;3;2;5;62;64;55;70;70;70;65;70;56;58;61;58;69;64;28;6;篮网;2;2;1110000;0;199020;1805;0;0;0;0;0;0;0
27;茵卡-戴尔;Yinka Dare;5;0;5;55;70;55;65;50;70;74;70;55;56;58;58;64;61;24;2;篮网;2;2;3066000;0;199414;1755;0;0;0;0;0;0;0
28;帕特里克-尤因;Patrick Ewing;5;4;10;68;90;55;78;84;97;91;82;84;56;76;77;97;87;34;11;尼克斯;3;5;23500000;0;198501;81;0;0;0;0;0;1;6
29;德里克-哈珀;Derek Harper;1;0;8;92;76;86;70;80;70;65;95;69;87;65;86;84;85;35;13;尼克斯;3;2;6390000;0;198311;488;0;0;0;0;0;0;0
30;约翰-斯塔克斯;John Starks;2;0;8;71;72;85;90;96;70;65;70;75;84;80;82;79;80;31;8;尼克斯;3;3;6102000;0;199000;681;0;0;0;0;0;0;0
31;小安东尼-梅森;Anthony Mason Jr.;3;4;8;76;76;71;70;94;70;88;70;75;71;65;74;85;80;29;8;尼克斯;3;4;10138000;0;198853;616;0;0;0;0;0;0;0
32;道格-克里斯蒂;Doug Christie;2;0;8;72;72;83;88;94;70;65;70;74;83;78;81;78;80;26;4;尼克斯;3;3;4074000;0;199217;554;0;0;0;0;0;0;0
33;查尔斯-奥克利;Charles Oakley;4;0;7;70;64;62;76;94;70;91;70;71;63;69;68;87;78;32;11;尼克斯;3;3;9680000;0;198509;177;0;0;0;0;0;0;0
34;查理-沃德;Charlie Ward;1;0;7;80;68;72;86;78;70;65;73;62;74;76;78;73;76;26;1;尼克斯;3;3;1060000;0;199426;2207;0;0;0;0;0;0;0
35;休伯特-戴维斯;Hubert Davis;2;0;7;69;80;80;94;48;70;65;70;59;80;84;81;61;71;26;4;尼克斯;3;2;2754000;0;199220;918;0;0;0;0;0;0;0
36;查尔斯-史密斯;Charles Cornelius Smith;3;4;6;58;70;55;76;66;71;70;71;60;58;65;61;69;66;31;8;尼克斯;3;2;13080000;0;198803;2125;0;0;0;0;0;0;0
37;马特-费什;Matt Fish;4;0;6;55;80;55;65;64;70;76;70;59;57;58;60;70;65;27;4;尼克斯;3;2;1440000;0;199250;1788;0;0;0;0;0;0;0
38;赫伯-威廉姆斯;Herb Williams;5;4;5;55;76;55;65;68;70;65;70;59;56;59;60;68;64;38;15;尼克斯;3;3;3550000;0;198114;2182;0;0;0;0;0;0;0
