name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
Berni Stevens;凯尔特人;1;39;1;4500000;2;1;40;38;38;40;5
Kenny Atkinson;篮网;2;49;1;4500000;0;0;37;44;44;37;5
Josh Hornacek;尼克斯;3;53;1;3000000;1;0;39;40;39;41;5
Barry Brown;76人;4;54;1;2000000;-2;1;42;36;39;43;5
Daniel Casey;猛龙;5;58;1;2000000;0;-1;38;39;40;40;5
Fred Hoiberg;公牛;6;57;1;5500000;1;1;36;42;42;38;5
Timmy Lue;骑士;7;39;1;4500000;1;1;35;42;43;37;5
Stuart VanGundy;活塞;8;56;1;6500000;1;-1;40;35;39;45;5
Norris McMillan;步行者;9;52;1;3000000;2;0;42;36;37;45;5
Juan Kidd;雄鹿;10;42;1;5000000;2;1;37;42;43;38;5
Marcus Buddenholzer;老鹰;11;43;1;3500000;2;1;41;41;38;40;5
Alvin Gentry;黄蜂;12;61;1;2000000;-2;1;37;46;44;38;5
Ernest Spoelstra;热火;13;44;1;2000000;1;-2;39;36;39;46;5
Ferry Vogel;魔术;14;42;1;2000000;1;0;40;36;36;44;5
Scott Brooks;子弹;15;51;1;4500000;0;1;39;41;38;38;5
Randy Carlisle;小牛;16;56;1;8000000;2;1;38;42;41;36;5
Miles Danthony;火箭;17;65;1;4000000;1;1;37;45;44;35;5
Donald Fizdale;灰熊;18;42;1;3000000;1;-1;41;38;40;39;5
Shawn Clifford;山猫;19;54;1;2000000;-2;0;39;38;36;43;5
Geoff Popovic;马刺;20;66;1;8000000;2;1;41;38;40;40;5
Morry Malone;掘金;21;40;1;2000000;0;1;45;36;39;40;5
Terry Thibodeau;森林狼;22;57;1;8000000;2;1;40;38;38;44;5
Thomas Stotts;开拓者;23;57;1;2000000;0;0;36;42;43;38;5
Buck Donovan;超音速;24;49;1;2000000;1;1;40;40;41;40;5
Quentin Snyder;爵士;25;49;1;2000000;1;1;38;42;41;38;5
Shawn Kerr;勇士;26;50;1;6500000;2;1;40;40;44;40;5
Danny Rivers;快船;27;54;1;7500000;2;-1;41;39;40;41;5
Lion Walton;湖人;28;36;1;3500000;0;0;36;44;43;39;5
Jeter Hornaceck;太阳;29;52;1;2000000;1;1;40;39;40;40;5
Donald Joerger;国王;30;41;1;6000000;2;1;37;38;38;43;5
乔-马祖拉;0;0;18;0;0;1;1;37;42;43;38;5
雅克-沃恩;0;0;18;0;0;2;1;39;39;39;38;5
汤姆-锡伯杜;0;0;18;0;0;1;0;40;35;38;45;5
道格-里弗斯;0;0;18;0;0;1;1;38;38;41;39;5
尼克-纳斯;0;0;18;0;0;1;1;39;38;37;44;5
比利-多诺万;0;0;18;0;0;1;1;41;39;41;41;5
JB-比克斯塔夫;0;0;18;0;0;1;1;44;37;36;44;5
德维恩-凯西;0;0;18;0;0;1;1;39;40;41;38;5
里克-卡莱尔;0;0;18;0;0;2;1;37;44;44;37;5
迈克-布登霍尔泽;0;0;18;0;0;2;1;35;44;43;37;5
内特-麦克米兰;0;0;18;0;0;1;0;45;37;36;43;5
斯蒂夫-克里福德;0;0;18;0;0;0;1;39;38;37;44;5
埃里克-斯波尔斯特拉;0;0;18;0;0;2;1;38;36;38;45;5
贾马尔-莫斯利;0;0;18;0;0;0;1;39;38;39;45;5
小韦斯-昂塞尔德;0;0;18;0;0;1;0;42;36;38;43;5
贾森-基德;0;0;18;0;0;1;1;37;45;41;38;5
斯蒂芬-塞拉斯;0;0;18;0;0;1;0;38;40;39;38;5
泰勒-詹金斯;0;0;18;0;0;1;2;35;43;44;38;5
威利-格林;0;0;18;0;0;1;1;42;34;41;41;5
格雷格-波波维奇;0;0;18;0;0;2;2;45;37;42;40;5
迈克-马龙;0;0;18;0;0;1;1;41;40;38;41;5
克里斯-芬奇;0;0;18;0;0;1;1;44;37;40;43;5
昌西-比卢普斯;0;0;18;0;0;0;1;43;35;36;42;5
马克-戴格诺特;0;0;18;0;0;0;2;39;40;41;38;5
威尔-哈迪;0;0;18;0;0;1;1;35;45;44;36;5
斯蒂夫-科尔;0;0;18;0;0;2;2;37;41;42;38;5
