No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;rings;mvps;fmvps;allTeam1;allTeam2;allTeam3
1;凯里-欧文;Kyrie Irving;1;0;10;77;89;85;89;87;63;73;69;85;86;81;89;76;83;25;6;凯尔特人;1;3;18870000;0;201101;136;0;1;0;0;0;0;1
2;艾尔-霍福德;Al Horford;5;4;9;73;80;74;73;90;71;83;66;79;71;71;78;82;81;31;10;凯尔特人;1;3;27730000;0;200703;110;0;0;0;0;0;0;1
3;杰森-塔图姆;Jayson Tatum;3;4;10;62;78;78;82;87;67;76;63;80;77;73;76;75;77;19;0;凯尔特人;1;4;5650000;0;201703;146;0;0;0;0;0;0;2
4;马库斯-莫里斯;Marcus Morris;4;0;8;60;74;75;81;84;61;76;60;72;73;72;74;72;73;28;6;凯尔特人;1;2;5000000;0;201114;1330;0;0;0;0;0;0;0
5;马库斯-斯玛特;Marcus Smart;2;3;8;70;70;74;74;85;63;71;68;71;75;65;72;74;73;23;3;凯尔特人;1;1;4540000;0;201406;300;0;0;0;0;0;0;0
6;特里-罗齐尔;Terry Rozier;1;2;8;63;72;77;80;81;60;74;65;71;79;67;73;71;72;23;2;凯尔特人;1;2;1990000;0;201516;595;0;0;0;0;0;0;0
7;杰伦-布朗;Jaylen Brown;2;3;9;62;78;78;60;87;63;76;64;77;78;52;69;74;71;21;1;凯尔特人;1;3;4960000;0;201603;96;0;0;0;0;0;0;0
8;格雷格-门罗;Greg Monroe;5;0;7;61;79;59;65;83;60;78;62;70;59;60;66;73;70;27;7;凯尔特人;1;1;5000000;0;0;275;0;0;0;0;0;0;0
9;丹尼尔-泰斯;Daniel Theis;4;0;7;60;72;68;74;78;64;72;59;68;68;66;68;69;69;25;3;凯尔特人;1;2;820000;0;201300;691;0;0;0;0;0;0;0
10;阿隆-贝恩斯;Aron Baynes;5;4;7;60;70;58;75;81;63;74;59;68;58;68;66;71;68;31;5;凯尔特人;1;1;4330000;0;200900;379;0;0;0;0;0;0;0
11;肖恩-拉金;Shane Larkin;1;2;6;60;65;69;86;73;60;64;59;63;72;70;69;62;66;24;3;凯尔特人;1;1;1520000;0;0;1176;0;0;0;0;0;0;0
12;谢米-奥杰莱;Semi Ojeleye;4;0;6;60;61;67;64;77;60;66;57;63;67;56;61;65;63;23;0;凯尔特人;1;4;1290000;0;201737;1682;0;0;0;0;0;0;0
13;阿卜杜勒-纳迪尔;Abdel Nader;3;4;6;60;63;69;60;74;60;64;57;62;70;51;59;62;62;24;1;凯尔特人;1;4;1170000;0;201658;2053;0;0;0;0;0;0;0
14;盖尔雄-亚布塞莱;Guerschon Yabusele;4;0;6;60;64;69;60;73;60;64;56;62;68;53;61;62;62;21;0;凯尔特人;1;4;2250000;0;0;1584;0;0;0;0;0;0;0
15;戈登-海沃德;Gordon Hayward;3;2;7;60;74;66;60;72;60;64;56;67;67;52;62;61;62;27;7;凯尔特人;1;4;29730000;0;201009;227;0;0;0;0;0;0;0
