name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
道格-里弗斯;凯尔特人;1;50;2;5456889;1;1;38;38;41;39;5
艾弗里-约翰逊;篮网;2;46;5;5597255;1;0;44;34;36;45;5
迈克-德安东尼;尼克斯;3;60;3;3495848;1;1;34;46;45;35;5
道格-科林斯;76人;4;60;2;3981459;-1;0;39;38;38;40;5
德韦恩-凯西;猛龙;5;56;3;4496369;2;-1;41;38;41;38;5
汤姆-锡伯杜;公牛;6;54;4;5443890;1;1;40;35;38;45;5
拜伦-斯科特;骑士;7;50;5;5163713;2;2;42;36;36;42;5
劳伦斯-弗兰克;活塞;8;41;2;3949350;0;0;39;38;38;41;5
弗兰克-沃格尔;步行者;9;38;2;6069575;1;1;37;35;36;44;5
斯科特-斯凯尔斯;雄鹿;10;47;4;4231838;0;-1;38;37;38;43;5
拉里-德鲁;老鹰;11;53;4;2951520;1;0;38;40;40;40;5
保罗-塞拉斯;山猫;12;68;5;4596746;-1;0;43;36;38;45;5
埃里克-斯波尔斯特拉;热火;13;41;5;3750296;1;2;38;36;38;45;5
斯坦-范甘迪;魔术;14;52;2;4383623;0;0;40;38;39;45;5
菲利普-桑德斯;奇才;15;56;3;6088728;0;-1;41;40;41;41;5
里克-卡莱尔;小牛;16;52;1;2911950;1;2;37;44;44;37;5
凯文-麦克海尔;火箭;17;54;5;3877080;0;1;45;36;42;41;5
莱昂内尔-霍林斯;灰熊;18;58;3;3963788;1;1;37;38;39;43;5
蒙蒂-威廉姆斯;黄蜂;19;40;5;3361323;1;1;36;44;43;36;5
格雷格-波波维奇;马刺;20;63;4;5473552;2;2;45;37;42;40;5
乔治-卡尔;掘金;21;60;4;2715827;1;1;35;46;43;38;5
里克-阿德尔曼;森林狼;22;65;1;5138248;1;1;37;43;44;36;5
内特-麦克米兰;开拓者;23;47;3;3425896;0;0;45;37;36;43;5
斯科特-布鲁克斯;雷霆;24;46;5;3509678;1;1;38;41;39;38;5
蒂龙-科尔宾;爵士;25;49;3;5253716;1;1;38;35;37;43;5
马克-杰克逊;勇士;26;46;3;3452071;0;1;36;42;40;37;5
文尼-德尔-尼格罗;快船;27;45;2;5104741;0;1;41;41;39;41;5
迈克-布朗;湖人;28;41;4;5233311;1;0;39;38;39;45;5
阿尔文-金特里;太阳;29;57;2;2703483;1;0;35;44;42;36;5
保罗-韦斯特法尔;国王;30;61;3;5980385;1;1;34;46;43;36;5
