name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
吉姆-奥布莱恩;凯尔特人;1;48;0;0;0;0;40;38;40;38;5
拜伦-斯科特;篮网;2;39;0;0;0;0;42;36;36;42;5
杰夫-范甘迪;尼克斯;3;39;0;0;1;1;40;35;36;44;5
拉里-布朗;76人;4;60;0;0;2;2;39;38;37;44;5
兰尼-威尔肯斯;猛龙;5;63;0;0;1;1;38;40;40;40;5
吉姆-弗洛伊德;公牛;6;46;0;0;-1;-1;39;38;41;41;5
兰迪-惠特曼;骑士;7;41;0;0;1;0;38;40;40;38;5
乔治-欧文;活塞;8;52;0;0;0;1;40;38;41;38;5
以赛亚-托马斯;步行者;9;39;0;0;1;2;40;40;38;41;5
乔治-卡尔;雄鹿;10;49;0;0;2;2;35;46;43;38;5
朗-克鲁格;老鹰;11;48;0;0;1;-1;38;40;40;41;5
保罗-塞拉斯;黄蜂;12;57;0;0;0;0;43;36;38;45;5
帕特-莱利;热火;13;55;0;0;2;2;38;35;36;43;5
道格-里弗斯;魔术;14;39;0;0;1;1;38;38;41;39;5
里克-皮蒂诺;0;0;48;0;0;-1;-1;38;41;38;38;5
伦纳德-汉密尔顿;奇才;15;52;0;0;-1;-1;41;39;38;41;5
唐-尼尔森;小牛;16;60;0;0;2;1;35;46;43;38;5
鲁迪-汤姆贾诺维奇;火箭;17;52;0;0;2;1;43;36;42;41;5
西德尼-洛维;灰熊;18;41;0;0;0;0;40;38;40;39;5
王非;鹈鹕;19;38;0;0;1;0;41;40;38;40;5
格雷格-波波维奇;马刺;20;52;0;0;2;2;45;37;42;40;5
丹-伊赛尔;掘金;21;52;0;0;0;1;41;39;38;40;5
菲利普-桑德斯;森林狼;22;45;0;0;0;0;41;40;41;41;5
迈克-邓利维;开拓者;23;46;0;1;1;1;38;40;39;41;5
内特-麦克米兰;超音速;24;39;0;0;1;2;45;37;36;43;5
杰里-斯隆;爵士;25;58;0;0;1;1;42;35;42;40;5
戴夫-考恩斯;勇士;26;52;0;0;-1;-1;45;36;37;44;5
阿尔文-金特里;快船;27;46;0;0;0;0;35;44;42;36;5
菲尔-杰克逊;湖人;28;55;0;0;2;2;37;38;43;39;5
斯科特-斯基尔斯;太阳;29;36;0;0;0;1;37;38;39;43;5
里克-阿德尔曼;国王;30;54;0;0;2;1;37;43;44;36;5
张斌;0;0;32;0;0;0;1;38;39;39;39;10
