name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
布拉德-史蒂文斯;凯尔特人;1;39;3;3700000;1;2;35;44;44;36;5
肯尼-阿特金森;篮网;2;48;1;4500000;0;1;38;44;41;37;5
德里克-费舍尔;尼克斯;3;41;4;3000000;0;0;39;39;39;41;5
布雷特-布朗;76人;4;54;1;2000000;0;1;35;45;43;36;5
德维恩-凯西;猛龙;5;58;2;2000000;1;1;39;40;41;38;5
弗雷德-霍伊博格;公牛;6;43;4;2000000;1;1;39;40;40;40;5
泰伦-卢;骑士;7;38;4;3000000;2;1;38;43;42;36;5
斯坦-范甘迪;活塞;8;56;3;4530000;1;0;40;38;39;45;5
弗兰克-沃格尔;步行者;9;42;3;3000000;1;1;37;35;36;44;5
贾森-基德;雄鹿;10;42;2;3740000;1;1;37;45;41;38;5
迈克-布登霍尔泽;老鹰;11;46;3;3500000;2;1;35;44;43;37;5
斯蒂夫-克里福德;黄蜂;12;54;3;2000000;0;1;39;38;37;44;5
埃里克-斯波尔斯特拉;热火;13;45;3;2000000;2;2;38;36;38;45;5
斯科特-斯凯尔斯;魔术;14;51;4;5500000;1;1;38;37;38;43;5
斯科特-布鲁克斯;奇才;15;50;5;7000000;1;1;38;41;39;38;5
里克-卡莱尔;小牛;16;56;4;7000000;2;1;37;44;44;37;5
凯文-麦克海尔;火箭;17;58;3;5000000;1;1;45;36;42;41;5
大卫-菲兹戴尔;灰熊;18;33;4;3000000;1;1;38;40;39;41;5
阿尔文-金特里;鹈鹕;19;63;3;3500000;0;2;35;44;42;36;5
格雷格-波波维奇;马刺;20;67;1;8000000;2;2;45;37;42;40;5
迈克-马龙;掘金;21;44;3;2000000;1;2;41;40;38;41;5
萨姆-米切尔;森林狼;22;52;2;6500000;0;1;39;40;41;41;5
特里-斯托茨;开拓者;23;58;5;4000000;1;1;36;42;42;37;5
比利-多诺万;雷霆;24;52;4;6000000;1;1;41;39;41;41;5
奎因-斯奈德;爵士;25;49;3;2000000;0;1;38;42;42;36;5
斯蒂夫-科尔;勇士;26;50;3;5000000;1;2;37;41;42;38;5
道格-里弗斯;快船;27;54;3;8000000;1;1;38;38;41;39;5
拜伦-斯科特;湖人;28;54;1;2000000;0;0;42;36;36;42;5
蒙蒂-威廉姆斯;太阳;29;44;4;4325000;2;1;36;44;43;36;5
卢克-沃顿;国王;30;35;5;1500000;0;0;35;42;43;39;5
迈克-德安东尼;0;0;64;0;0;2;1;34;46;45;35;5
埃托雷-梅西纳;0;0;58;0;0;1;1;39;36;38;46;5
布莱恩-肖;0;0;51;0;0;0;0;38;38;39;41;5
莱昂内尔-霍林斯;0;0;64;0;0;1;1;37;38;39;43;5
大卫-布拉特;0;0;58;0;0;1;0;40;39;41;39;5
兰迪-惠特曼;0;0;58;0;0;1;1;38;40;40;38;5
菲尔-杰克逊;0;0;70;0;0;2;2;37;38;43;39;5
乔治-卡尔;0;0;66;0;0;1;1;35;46;43;38;5
内特-麦克米兰;0;0;51;0;0;1;1;45;37;36;43;5
拉里-伯德;0;0;60;0;0;0;0;40;40;39;38;5
汤姆-锡伯杜;0;0;57;0;0;1;1;40;35;38;45;5
斯蒂芬-塞拉斯;0;0;44;0;0;1;0;38;40;39;38;5
马克-戴格诺特;0;0;32;0;0;0;2;39;40;41;38;5
大卫-比克斯塔夫;0;0;40;0;0;0;2;40;38;38;39;5
戴夫-乔格尔;0;0;43;0;0;1;1;39;37;37;44;5
厄尔-沃特森;0;0;38;0;0;0;1;41;41;38;39;5
杰夫-霍纳塞克;0;0;54;0;0;0;0;39;38;39;39;5
达尔文-哈姆;0;0;45;0;0;0;1;39;38;36;43;5
尼克-纳斯;0;0;50;0;0;1;1;39;38;37;44;5
莱恩-桑德斯;0;0;31;0;0;0;0;35;44;42;36;5
劳埃德-皮尔斯;0;0;41;0;0;1;0;38;42;44;37;5
詹姆斯-伯雷格;0;0;40;0;0;0;1;39;39;38;38;5
