name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
汤姆-锡伯杜;0;0;46;0;0;2;1;40;35;38;45;7
道格-里弗斯;凯尔特人;1;42;2;3500755;2;-1;38;38;41;39;7
劳伦斯-弗兰克;篮网;2;33;2;4016740;0;-1;39;38;38;41;7
迈克-德安东尼;尼克斯;3;52;2;3806428;1;1;34;46;45;35;7
托尼-迪莱奥;76人;4;48;2;3869522;1;0;39;40;41;38;7
杰-特里亚诺;猛龙;5;45;1;4326152;0;-1;38;40;40;41;7
维尼-德纳格罗;公牛;6;37;1;3731910;1;1;38;41;39;38;7
迈克-布朗;骑士;7;33;2;4066114;1;1;39;38;39;45;7
迈克尔-库里;活塞;8;35;4;4085996;1;-1;39;40;41;39;7
吉姆-奥布莱恩;步行者;9;51;2;4491534;0;0;40;38;40;38;7
斯科特-斯凯尔斯;雄鹿;10;39;3;4097857;1;1;38;37;38;43;7
迈克-伍德森;老鹰;11;45;3;3724057;1;1;39;38;38;45;7
拉里-布朗;山猫;12;63;1;3690745;1;1;39;38;37;44;7
埃里克-斯波尔斯特拉;热火;13;33;2;4209010;1;0;38;36;38;45;7
斯坦-范甘迪;魔术;14;44;1;3773021;1;1;40;38;39;45;7
艾德-泰普斯科特;奇才;15;50;2;4064462;0;-1;39;38;40;39;7
里克-卡莱尔;小牛;16;44;3;3920123;2;1;37;44;44;37;7
里克-阿德尔曼;火箭;17;57;1;3786605;2;0;37;43;44;36;7
莱昂内尔-霍林斯;灰熊;18;50;2;4177119;0;0;37;38;39;43;7
拜伦-斯科特;黄蜂;19;42;1;3734831;-1;1;42;36;36;42;7
格雷格-波波维奇;马刺;20;55;1;3541424;2;2;45;37;42;40;7
乔治-卡尔;掘金;21;52;1;4079543;1;1;35;46;43;38;7
凯文-麦克海尔;森林狼;22;46;1;4353167;1;0;45;36;42;41;7
内特-麦克米兰;开拓者;23;39;1;4170081;0;0;45;37;36;43;7
斯科特-布鲁克斯;超音速;24;38;3;3803663;1;1;38;41;39;38;7
杰里-斯隆;爵士;25;61;3;4082050;2;1;42;35;42;40;7
唐-尼尔森;勇士;26;63;2;4269543;1;2;35;46;43;38;7
迈克-邓利维;快船;27;49;2;3961913;1;0;38;40;39;41;7
菲尔-杰克逊;湖人;28;58;2;3997436;2;2;37;38;43;39;7
阿尔文-金特里;太阳;29;49;2;3781209;0;0;35;44;42;36;7
肯尼-奈特;国王;30;45;2;3908200;-1;0;39;40;40;41;7
