﻿No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;draft;image;info;allStars;allStarsMvps;allTeam1;allTeam2;allTeam3;best3ptsers;bestBlockers;bestPassers;bestRebounders;bestRookie;bestScorers;bestStealers;defTeam1;defTeam2;defTeam3;dpoy;fmvps;mvps;rings;sixmans
1;杰森-塔图姆;Jayson Tatum;4;3;10;76;88;91;87;94;73;82;84;86;91;85;93;88;91;26;7;凯尔特人;1;5;34848340;201703;146;0;5;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2;杰伦-布朗;Jaylen Brown;3;2;10;72;88;83;88;90;69;73;81;88;85;87;88;82;86;28;8;凯尔特人;1;5;49205800;201603;96;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
3;克里斯塔普斯-波尔津吉斯;Kristaps Porziņģis;5;4;9;65;85;85;84;81;83;83;60;83;78;80;85;83;84;29;9;凯尔特人;1;2;29268293;201504;197;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
4;德里克-怀特;Derrick White;2;1;9;79;80;88;81;86;70;65;85;80;83;75;85;81;83;30;7;凯尔特人;1;5;20071429;201729;507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0
5;朱-霍乐迪;Jrue Holiday;1;2;9;82;75;77;80;85;71;70;86;75;80;72;82;83;83;34;15;凯尔特人;1;4;30000000;200917;111;0;2;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;2;0
6;艾尔-霍福德;Al Horford;5;4;8;67;78;81;80;79;76;81;72;76;80;75;80;81;81;38;17;凯尔特人;1;1;9500000;200703;110;0;5;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
7;佩顿-普理查德;Payton Pritchard;1;0;7;79;81;87;81;79;60;71;69;77;84;76;86;71;79;26;4;凯尔特人;1;4;6696429;202026;1400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
8;萨姆-豪瑟;Sam Hauser;3;4;7;60;75;84;82;75;72;70;65;70;90;70;77;71;75;26;3;凯尔特人;1;5;2092344;202100;1040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
9;托里-克雷格;Torrey Craig;4;3;6;61;72;77;76;78;70;74;71;66;71;67;70;75;73;34;7;凯尔特人;1;1;1046289;201400;1150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;卢克-科内特;Luke Kornet;5;0;6;57;80;65;70;79;76;79;57;75;55;60;68;77;73;29;7;凯尔特人;1;1;2800834;201700;546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
